instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-CABLE50-3,1,Cable/T3D2,50.0,-10.0,0.0,-0.006274036,-0.00022947267,-0.24426699,-0.00119491,0.0268153,-1.10336,0.8595336043928451,351.7666618835194,351.6869334130114
PART-FLOOR-1,8,Floor/S4R,50.0,-10.0,0.0,-0.006274036,-0.00022947267,-0.24426699,-0.00119491,0.0268153,-1.10336,0.8595336043928451,351.7666618835194,351.6869334130114
PART-SUPPORTBEAM-1,16,SupportBeam/B31,50.0,-10.0,0.0,-0.006274036,-0.00022947267,-0.24426699,-0.00119491,0.0268153,-1.10336,0.8595336043928451,351.7666618835194,351.6869334130114
PART-CABLE50-4,1,Cable/T3D2,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.000795835,0.0285562,-1.10204,0.8582580910494725,351.2446542869659,351.16462519786415
PART-SUPPORTBEAM-2,16,SupportBeam/B31,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.000795835,0.0285562,-1.10204,0.8582580910494725,351.2446542869659,351.16462519786415
PART-FLOOR-1,7,Floor/S4R,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.000795835,0.0285562,-1.10204,0.8582580910494725,351.2446542869659,351.16462519786415
PART-SUPPORTBEAM-1,263,SupportBeam/B31,50.0,-10.0,-3.75,-0.0048006284,-0.000537188,-0.24515715,0.00140289,0.028656,-1.10271,0.8580720345106609,349.94105202549,349.86209692679
PART-SUPPORTBEAM-2,263,SupportBeam/B31,50.0,10.0,-3.75,-0.0048006284,0.000537188,-0.24515715,0.00212891,0.0294543,-1.10131,0.8566690845548123,349.3688975166104,349.3003996318225
PART-SUPPORTBEAM-1,262,SupportBeam/B31,50.0,-10.0,-7.5,-0.003293216,-0.0008448155,-0.24604188,0.00407808,0.0304973,-1.10204,0.8566034354660675,348.12027381688455,348.0392551028371
PART-SUPPORTBEAM-1,261,SupportBeam/B31,50.0,-10.0,-11.25,-0.0017177936,-0.0011522672,-0.24692115,0.00690807,0.0323396,-1.10137,0.8551484946824794,346.3123719909452,346.22653356776783
PART-SUPPORTBEAM-2,262,SupportBeam/B31,50.0,10.0,-7.5,-0.003293216,0.0008448155,-0.24604188,0.00512754,0.0303535,-1.10057,0.8550789317152345,347.5007214765579,347.4422539452317
PART-SUPPORTBEAM-1,177,SupportBeam/B31,34.61538,-10.0,-30.0,0.005794366,-0.0027133122,-0.2745732,0.00807569,0.0413152,-1.12766,0.8542252645877307,311.0257805067727,310.8701250079338
PART-SUPPORTBEAM-1,178,SupportBeam/B31,38.46154,-10.0,-30.0,0.0064381845,-0.0027067023,-0.26778767,0.0125789,0.0414902,-1.12072,0.8540987262131917,318.83783161909963,318.6813540946463
PART-SUPPORTBEAM-1,260,SupportBeam/B31,50.0,-10.0,-15.0,-4.0356335e-05,-0.0014594554,-0.247795,0.00997024,0.0341833,-1.1007,0.8537081217116811,344.5159520860234,344.4224812188098
PART-SUPPORTBEAM-2,261,SupportBeam/B31,50.0,10.0,-11.25,-0.0017177936,0.0011522672,-0.24692115,0.00827397,0.031255,-1.09983,0.8534983985164759,345.64412697757587,345.59427893663013
PART-SUPPORTBEAM-1,176,SupportBeam/B31,30.76923,-10.0,-30.0,0.0051505473,-0.00271936,-0.28093305,0.00357243,0.0410663,-1.13329,0.8534823048482906,303.7374708816085,303.5822022299726
PART-SUPPORTBEAM-2,177,SupportBeam/B31,34.61538,10.0,-30.0,0.005794366,0.0027133122,-0.2745732,0.0114088,0.0350361,-1.12702,0.8530778577073396,310.6080064893948,310.5703514251684
PART-SUPPORTBEAM-1,179,SupportBeam/B31,42.30769,-10.0,-30.0,0.007082003,-0.0026995619,-0.2611419,0.0170822,0.0415923,-1.11299,0.853057418023088,326.52683051854103,326.36935425862646
PART-SUPPORTBEAM-2,176,SupportBeam/B31,30.76923,10.0,-30.0,0.0051505473,0.00271936,-0.28093305,0.00705871,0.0346267,-1.1331,0.8527662224215191,303.4826313096398,303.4439449762499
PART-SUPPORTBEAM-1,165,SupportBeam/B31,36.66667,-10.0,-22.0,-0.00046311063,-0.0020689925,-0.2738831,0.00898196,0.0376058,-1.12564,0.8527327337546822,311.33983231249385,311.2229151040876
PART-SUPPORTBEAM-2,178,SupportBeam/B31,38.46154,10.0,-30.0,0.0064381845,0.0027067023,-0.26778767,0.015759,0.0353617,-1.11968,0.8525689229553239,318.2667510887434,318.22996061357986
PART-SUPPORTBEAM-1,166,SupportBeam/B31,40.0,-10.0,-24.0,0.0023040902,-0.002221677,-0.2672984,0.013274,0.0386586,-1.1187,0.8524530605559328,318.89152810443295,318.77026281547245
PART-SUPPORTBEAM-1,164,SupportBeam/B31,33.33333,-10.0,-20.0,-0.0030526014,-0.0019167488,-0.2801658,0.00521468,0.0365084,-1.13171,0.8524507989061239,304.2413663492518,304.1239246394601
PART-SUPPORTBEAM-1,259,SupportBeam/B31,50.0,-10.0,-18.75,0.0017731007,-0.001766292,-0.24866338,0.013342,0.0360292,-1.10002,0.8522736843669175,342.72457825573593,342.62046070747806
PART-SUPPORTBEAM-2,260,SupportBeam/B31,50.0,10.0,-15.0,-4.0356335e-05,0.0014594554,-0.247795,0.0116421,0.03216,-1.09908,0.8519185139728775,343.7937516075293,343.7510679913828
PART-SUPPORTBEAM-1,175,SupportBeam/B31,26.92308,-10.0,-30.0,0.004506729,-0.0027248147,-0.28644243,-0.000930821,0.040742,-1.1372,0.8518846012474175,297.35142796499605,297.195935994401
PART-SUPPORTBEAM-2,175,SupportBeam/B31,26.92308,10.0,-30.0,0.004506729,0.0027248147,-0.28644243,0.00270858,0.0341331,-1.13753,0.8516688121176078,297.27610648859627,297.2361615020178
PART-SUPPORTBEAM-1,163,SupportBeam/B31,30.0,-10.0,-18.0,-0.0052313777,-0.0017648021,-0.2857581,0.00220121,0.0353628,-1.13651,0.8515940920128696,297.9566253963048,297.83648910813656
