instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,3.03354e-15,-3.05783e-05,-0.0108893,0.2842134410980694,96.31025337600295,96.3099726284319
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,6.19179e-15,3.05783e-05,-0.0108893,0.2842134410980694,96.31025337600295,96.3099726284319
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,3.56356e-15,-0.000274923,-0.0120773,0.28296102556146585,95.9074890330917,95.90543050149523
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,5.87069e-15,0.000274923,-0.0120773,0.28296102556146585,95.9074890330917,95.90543050149523
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,4.64036e-15,-0.000770668,-0.0132575,0.28171347715789125,95.50785677360987,95.49779097868598
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,5.21984e-15,0.000770668,-0.0132575,0.28171347715789125,95.50785677360987,95.49779097868598
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00242653,-3.80316e-05,-0.0142645,0.2813631414242853,95.18033834004119,95.10522704084869
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00242653,-3.80316e-05,-0.0142645,0.2813631414242853,95.18033834004119,95.10522704084869
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00242653,3.80316e-05,-0.0142645,0.2813631414242853,95.18033834004119,95.10522704084869
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00242653,3.80316e-05,-0.0142645,0.2813631414242853,95.18033834004119,95.10522704084869
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,5.71711e-15,-0.00126641,-0.01443,0.2804683458313853,95.11051106423764,95.08778800482787
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,4.56813e-15,0.00126641,-0.01443,0.2804683458313853,95.11051106423764,95.08778800482787
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,6.24504e-15,-0.00151076,-0.0155946,0.27922297491037784,94.71452588246605,94.68542988807368
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,4.25056e-15,0.00151076,-0.0155946,0.27922297491037784,94.71452588246605,94.68542988807368
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,6.38582e-15,-0.00142229,-0.0180385,0.2766895044012843,93.88290764983189,93.86040002693261
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,4.43239e-15,0.00142229,-0.0180385,0.2766895044012843,93.88290764983189,93.86040002693261
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,6.44727e-15,-0.00121173,-0.0204745,0.2741579402085302,93.05307592345427,93.03850602804413
PART-SUPPORTBEAM-1,186,SupportBeam/B31,0.0,-10.0,-7.5,-9.525197e-16,-0.00097364635,-0.29462373,4.31988e-15,0.00121173,-0.0204745,0.2741579402085302,93.05307592345427,93.03850602804413
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00485305,-5.7797e-05,-0.0228049,0.27350261956702204,92.32476003328058,92.12947014826682
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00485305,-5.7797e-05,-0.0228049,0.27350261956702204,92.32476003328058,92.12947014826682
PART-SUPPORTBEAM-1,170,SupportBeam/B31,7.69231,-10.0,-30.0,0.0012876368,-0.002742094,-0.29622424,-0.00485305,5.7797e-05,-0.0228049,0.27350261956702204,92.32476003328058,92.12947014826682
PART-SUPPORTBEAM-1,201,SupportBeam/B31,-7.69231,-10.0,-30.0,-0.0012876368,-0.002742094,-0.29622424,0.00485305,5.7797e-05,-0.0228049,0.27350261956702204,92.32476003328058,92.12947014826682
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,6.05853e-15,-0.000937232,-0.0229028,0.27162911519982236,92.22526244895718,92.2173858909217
PART-SUPPORTBEAM-1,187,SupportBeam/B31,0.0,-10.0,-3.75,-6.581144e-16,-0.0006801343,-0.2945271,3.19867e-15,0.000937232,-0.0229028,0.27162911519982236,92.22526244895718,92.2173858909217
PART-SUPPORTBEAM-2,10,SupportBeam/B31,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,4.81014e-15,-0.000656914,-0.0253233,0.269103764400033,91.39967580730065,91.39618110333019
PART-FLOOR-1,9,Floor/S4R,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,4.81014e-15,-0.000656914,-0.0253233,0.269103764400033,91.39967580730065,91.39618110333019
PART-FLOOR-1,10,Floor/S4R,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,3.54487e-16,0.000656914,-0.0253233,0.269103764400033,91.39967580730065,91.39618110333019
PART-SUPPORTBEAM-1,10,SupportBeam/B31,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,3.54487e-16,0.000656914,-0.0253233,0.269103764400033,91.39967580730065,91.39618110333019
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,-0.0012563,-0.000771779,-0.0293507,0.26536007689254476,90.0445853896604,90.02787370957368
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.0012563,-0.000771779,-0.0293507,0.26536007689254476,90.0445853896604,90.02787370957368
PART-SUPPORTBEAM-1,141,SupportBeam/B31,-3.33333,-10.0,-2.0,0.001307067,-0.0005426483,-0.29469514,-0.0012563,0.000771779,-0.0293507,0.26536007689254476,90.0445853896604,90.02787370957368
PART-SUPPORTBEAM-1,155,SupportBeam/B31,3.33333,-10.0,-2.0,-0.001307067,-0.0005426483,-0.29469514,0.0012563,0.000771779,-0.0293507,0.26536007689254476,90.0445853896604,90.02787370957368
PART-FLOOR-1,99,Floor/S4R,0.0,0.0,0.0,-4.2136686e-16,7.151421e-15,-0.3599833,2.35265e-15,-3.47979e-13,-0.0957912,0.2641921,73.39009892958923,73.39009892958923
PART-SUPPORTBEAM-2,171,SupportBeam/B31,11.53846,10.0,-30.0,0.0019314553,0.0027400749,-0.29640955,-0.00727958,-8.70852e-05,-0.034999,0.26158805717545935,88.24659263561232,87.94038221026305
PART-SUPPORTBEAM-2,202,SupportBeam/B31,-11.53846,10.0,-30.0,-0.0019314553,0.0027400749,-0.29640955,0.00727958,-8.70852e-05,-0.034999,0.26158805717545935,88.24659263561232,87.94038221026305
PART-SUPPORTBEAM-1,171,SupportBeam/B31,11.53846,-10.0,-30.0,0.0019314553,-0.0027400749,-0.29640955,-0.00727958,8.70852e-05,-0.034999,0.26158805717545935,88.24659263561232,87.94038221026305
PART-SUPPORTBEAM-1,202,SupportBeam/B31,-11.53846,-10.0,-30.0,-0.0019314553,-0.0027400749,-0.29640955,0.00727958,8.70852e-05,-0.034999,0.26158805717545935,88.24659263561232,87.94038221026305
PART-FLOOR-1,341,Floor/S4R,5.0,-5.0,0.0,-0.000497431,-0.0002010983,-0.3619919,-0.000171711,5.35012e-05,-0.100544,0.26144822686113933,72.22480383493748,72.22477894745734
PART-FLOOR-1,343,Floor/S4R,5.0,5.0,0.0,-0.000497431,0.0002010983,-0.3619919,-0.000171711,-5.35012e-05,-0.100544,0.26144822686113933,72.22480383493748,72.22477894745734
PART-FLOOR-1,344,Floor/S4R,-5.0,-5.0,0.0,0.000497431,-0.0002010983,-0.3619919,0.000171711,5.35012e-05,-0.100544,0.26144822686113933,72.22480383493748,72.22477894745734
PART-FLOOR-1,346,Floor/S4R,-5.0,5.0,0.0,0.000497431,0.0002010983,-0.3619919,0.000171711,-5.35012e-05,-0.100544,0.26144822686113933,72.22480383493748,72.22477894745734
PART-SUPPORTBEAM-2,142,SupportBeam/B31,-6.66667,10.0,-4.0,0.003023396,0.0006974005,-0.29564145,-0.000323272,-0.000847609,-0.0370186,0.2586491171127011,87.48261569949311,87.47547935440602
PART-SUPPORTBEAM-2,156,SupportBeam/B31,6.66667,10.0,-4.0,-0.003023396,0.0006974005,-0.29564145,0.000323272,-0.000847609,-0.0370186,0.2586491171127011,87.48261569949311,87.47547935440602
PART-SUPPORTBEAM-1,142,SupportBeam/B31,-6.66667,-10.0,-4.0,0.003023396,-0.0006974005,-0.29564145,-0.000323272,0.000847609,-0.0370186,0.2586491171127011,87.48261569949311,87.47547935440602
PART-SUPPORTBEAM-1,156,SupportBeam/B31,6.66667,-10.0,-4.0,-0.003023396,-0.0006974005,-0.29564145,0.000323272,0.000847609,-0.0370186,0.2586491171127011,87.48261569949311,87.47547935440602
PART-FLOOR-1,96,Floor/S4R,10.0,10.0,0.0,-0.0010079407,0.00041078145,-0.39489084,-0.00056305,0.000152062,-0.140617,0.25427436082278204,64.39080606469727,64.39074774804014
PART-FLOOR-1,102,Floor/S4R,10.0,-10.0,0.0,-0.0010079407,-0.00041078145,-0.39489084,-0.00056305,-0.000152062,-0.140617,0.25427436082278204,64.39080606469727,64.39074774804014
PART-FLOOR-1,111,Floor/S4R,-10.0,10.0,0.0,0.0010079407,0.00041078145,-0.39489084,0.00056305,0.000152062,-0.140617,0.25427436082278204,64.39080606469727,64.39074774804014
PART-FLOOR-1,129,Floor/S4R,-10.0,-10.0,0.0,0.0010079407,-0.00041078145,-0.39489084,0.00056305,-0.000152062,-0.140617,0.25427436082278204,64.39080606469727,64.39074774804014
