node,U1,U2,U3,R1,R2,R3
1,-0.0140083,0.000185605,-0.0986375,-0.0162391,0.00705191,0
2,-0.0140083,-0.000185605,-0.0986375,0.0162391,0.00705191,0
3,-0.00761284,0.000256126,-0.151981,0.013029,-0.00273937,0
4,-0.00761284,-0.000256126,-0.151981,-0.013029,-0.00273937,0
5,-0.0022912,0.000181171,-0.153785,0.0138125,0.000875831,0
6,-0.0022912,-0.000181171,-0.153785,-0.0138125,0.000875831,0
7,-0.0014641,8.83219e-005,-0.107957,0.0134271,0.00171832,0
8,-0.0014641,-8.83219e-005,-0.107957,-0.0134271,0.00171832,0
9,2.77894e-015,-0.000623487,-0.0238287,0.0141184,3.25955e-014,0
10,-9.14538e-015,0.000623487,-0.0238287,-0.0141184,2.85177e-014,0
11,0.0014641,8.83219e-005,-0.107957,0.0134271,-0.00171832,0
12,0.0014641,-8.83219e-005,-0.107957,-0.0134271,-0.00171832,0
13,0.0022912,0.000181171,-0.153785,0.0138125,-0.000875831,0
14,0.0022912,-0.000181171,-0.153785,-0.0138125,-0.000875831,0
15,0.00761284,0.000256126,-0.151981,0.013029,0.00273937,0
16,0.00761284,-0.000256126,-0.151981,-0.013029,0.00273937,0
17,0.0140083,-0.000185605,-0.0986375,0.0162391,-0.00705191,0
18,0.0140083,0.000185605,-0.0986375,-0.0162391,-0.00705191,0
19,0.00118208,-0.000787641,-0.000601549,0.00414158,0.0378485,0
20,0.00118208,0.000787641,-0.000601549,-0.00414158,0.0378485,0
21,-0.00118208,0.000787641,-0.000601549,-0.00414158,-0.0378485,0
22,-0.00118208,-0.000787641,-0.000601549,0.00414158,-0.0378485,0
23,-0.0103826,9.28139e-005,-0.167185,-0.00747591,0.00698241,0
24,-0.0100887,-2.06089e-014,-0.176412,-5.58326e-016,0.00674506,0
25,-0.0103826,-9.28139e-005,-0.167185,0.00747591,0.00698241,0
26,-0.0115889,-0.000441567,-0.115966,0.0101322,-0.00748939,0
27,-0.0106433,-0.0001114,-0.160897,0.00449587,-0.0113212,0
28,-0.0101731,0.00012577,-0.230792,0.00135359,-0.0109961,0
29,-0.00980647,0.000217797,-0.270632,-0.000826732,-0.00765064,0
30,-0.00943824,0.000239849,-0.307027,-0.00130312,-0.00255047,0
31,-0.00905505,0.000241467,-0.295579,-0.00133168,0.00289433,0
32,-0.00866375,0.000243348,-0.278684,0.000421442,0.00731409,0
33,-0.00827471,0.00025326,-0.221746,0.00284708,0.0093952,0
34,-0.00790813,0.000268658,-0.184035,0.00791015,0.00799383,0
35,-0.00743746,0.000128043,-0.213276,0.00607331,-0.00271901,0
36,-0.0074232,-5.94264e-014,-0.215167,-1.90321e-015,-0.00266205,0
37,-0.00743746,-0.000128043,-0.213276,-0.00607331,-0.00271901,0
38,-0.00790813,-0.000268658,-0.184035,-0.00791015,0.00799383,0
39,-0.00827471,-0.00025326,-0.221746,-0.00284708,0.0093952,0
40,-0.00866375,-0.000243348,-0.278684,-0.000421442,0.00731409,0
41,-0.00905505,-0.000241467,-0.295579,0.00133168,0.00289433,0
42,-0.00943824,-0.000239849,-0.307027,0.00130312,-0.00255047,0
43,-0.00980647,-0.000217797,-0.270632,0.000826732,-0.00765064,0
44,-0.0101731,-0.00012577,-0.230792,-0.00135359,-0.0109961,0
45,-0.0106433,0.0001114,-0.160897,-0.00449587,-0.0113212,0
46,-0.0115889,0.000441567,-0.115966,-0.0101322,-0.00748939,0
47,-0.00705375,0.000243831,-0.211558,0.00776702,-0.0133384,0
48,-0.00656595,0.000259949,-0.274518,0.00250259,-0.0143522,0
49,-0.00610128,0.000271784,-0.356047,-9.42801e-006,-0.0116147,0
50,-0.00564225,0.000276825,-0.390679,-0.00202845,-0.00628652,0
51,-0.00518498,0.000277765,-0.418626,-0.00203228,0.000336518,0
52,-0.00473025,0.000272807,-0.387206,-0.00190775,0.00686338,0
53,-0.00427541,0.000251825,-0.350709,0.000271735,0.0119058,0
54,-0.00379695,0.00019805,-0.267857,0.00289982,0.014167,0
55,-0.00321086,0.000123282,-0.208362,0.00842642,0.0125025,0
56,-0.00311184,9.05874e-005,-0.21979,0.00644065,0.000872602,0
57,-0.00317835,-1.0457e-013,-0.220894,-1.67671e-015,0.000860198,0
58,-0.00311184,-9.05874e-005,-0.21979,-0.00644065,0.000872602,0
59,-0.00321086,-0.000123282,-0.208362,-0.00842642,0.0125025,0
60,-0.00379695,-0.00019805,-0.267857,-0.00289982,0.014167,0
61,-0.00427541,-0.000251825,-0.350709,-0.000271735,0.0119058,0
62,-0.00473025,-0.000272807,-0.387206,0.00190775,0.00686338,0
63,-0.00518498,-0.000277765,-0.418626,0.00203228,0.000336518,0
64,-0.00564225,-0.000276825,-0.390679,0.00202845,-0.00628652,0
65,-0.00610128,-0.000271784,-0.356047,9.42801e-006,-0.0116147,0
66,-0.00656595,-0.000259949,-0.274518,-0.00250259,-0.0143522,0
67,-0.00705375,-0.000243831,-0.211558,-0.00776702,-0.0133384,0
68,-0.00260688,0.000239098,-0.19972,0.00846428,-0.0107769,0
69,-0.00258898,0.000164359,-0.250454,0.00295458,-0.0125234,0
70,-0.00246349,0.000110652,-0.325865,0.000385934,-0.0103963,0
71,-0.00231448,8.97784e-005,-0.354551,-0.00179736,-0.0055439,0
72,-0.0021657,8.47972e-005,-0.38083,-0.00183868,0.000740956,0
73,-0.00202007,8.48113e-005,-0.347068,-0.00185749,0.00706643,0
74,-0.00187625,8.59735e-005,-0.310695,0.000275978,0.0120454,0
75,-0.00173372,8.78121e-005,-0.226358,0.00275764,0.0143794,0
76,-0.00159429,8.99965e-005,-0.166119,0.00820005,0.0129188,0
77,-0.00144133,4.41738e-005,-0.173169,0.00627383,0.00171494,0
78,-0.0014395,-1.37315e-013,-0.173323,-3.40324e-015,0.00170354,0
79,-0.00144133,-4.41738e-005,-0.173169,-0.00627383,0.00171494,0
80,-0.00159429,-8.99965e-005,-0.166119,-0.00820005,0.0129188,0
81,-0.00173372,-8.78121e-005,-0.226358,-0.00275764,0.0143794,0
82,-0.00187625,-8.59735e-005,-0.310695,-0.000275978,0.0120454,0
83,-0.00202007,-8.48113e-005,-0.347068,0.00185749,0.00706643,0
84,-0.0021657,-8.47972e-005,-0.38083,0.00183868,0.000740956,0
85,-0.00231448,-8.97784e-005,-0.354551,0.00179736,-0.0055439,0
86,-0.00246349,-0.000110652,-0.325865,-0.000385934,-0.0103963,0
87,-0.00258898,-0.000164359,-0.250454,-0.00295458,-0.0125234,0
88,-0.00260688,-0.000239098,-0.19972,-0.00846428,-0.0107769,0
89,-0.00129957,8.67603e-005,-0.148989,0.00823248,-0.00950736,0
90,-0.00114422,8.88169e-005,-0.19222,0.0028153,-0.0110447,0
91,-0.000991695,9.04298e-005,-0.260325,0.000373399,-0.00883795,0
92,-0.000839646,9.17367e-005,-0.280828,-0.00174212,-0.0040378,0
93,-0.000688107,9.41584e-005,-0.300283,-0.0016757,0.00205853,0
94,-0.000540046,9.85416e-005,-0.260283,-0.00162364,0.00806261,0
95,-0.000403589,0.000100995,-0.220244,0.000616512,0.012584,0
96,-0.000291228,7.28535e-005,-0.134261,0.00319001,0.0143286,0
97,-0.000194312,-2.15438e-005,-0.0761561,0.00877115,0.0121508,0
98,-4.54575e-016,-0.000211353,-0.0918178,0.00659881,3.11363e-014,0
99,-3.34822e-015,-1.3503e-013,-0.0925537,-1.53616e-015,2.91062e-014,0
