node,U1,U2,U3,R1,R2,R3
1,-0.0142389,0.000219257,-0.161514,-0.0161835,0.00613988,0
2,-0.0142389,-0.000219257,-0.161514,0.0161835,0.00613988,0
3,-0.00887429,0.000212073,-0.241443,0.0130103,-0.00299209,0
4,-0.00887429,-0.000212073,-0.241443,-0.0130103,-0.00299209,0
5,-0.00437948,0.000189801,-0.247784,0.0138086,0.000915992,0
6,-0.00437948,-0.000189801,-0.247784,-0.0138086,0.000915992,0
7,-0.0023955,0.000142768,-0.179649,0.0132702,0.00290002,0
8,-0.0023955,-0.000142768,-0.179649,-0.0132702,0.00290002,0
9,-2.13605e-015,-0.000571131,-0.0377208,0.0144359,3.7647e-014,0
10,4.00626e-015,0.000571131,-0.0377208,-0.0144359,3.88609e-014,0
11,0.0023955,0.000142768,-0.179649,0.0132702,-0.00290002,0
12,0.0023955,-0.000142768,-0.179649,-0.0132702,-0.00290002,0
13,0.00437948,0.000189801,-0.247784,0.0138086,-0.000915992,0
14,0.00437948,-0.000189801,-0.247784,-0.0138086,-0.000915992,0
15,0.00887429,0.000212073,-0.241443,0.0130103,0.00299209,0
16,0.00887429,-0.000212073,-0.241443,-0.0130103,0.00299209,0
17,0.0142389,-0.000219257,-0.161514,0.0161835,-0.00613988,0
18,0.0142389,0.000219257,-0.161514,-0.0161835,-0.00613988,0
19,0.00116258,-0.00079456,-0.0009426,0.00430439,0.0392769,0
20,0.00116258,0.00079456,-0.0009426,-0.00430439,0.0392769,0
21,-0.00116258,0.00079456,-0.0009426,-0.00430439,-0.0392769,0
22,-0.00116258,-0.00079456,-0.0009426,0.00430439,-0.0392769,0
23,-0.0107721,0.000109632,-0.229627,-0.00744721,0.00607083,0
24,-0.0104911,6.26218e-014,-0.238982,1.37112e-014,0.00583398,0
25,-0.0107721,-0.000109632,-0.229627,0.00744721,0.00607083,0
26,-0.0119952,-0.000463969,-0.182964,0.0100699,-0.00830647,0
27,-0.0111606,-0.000148282,-0.231939,0.00444964,-0.0120537,0
28,-0.0107805,7.84607e-005,-0.305129,0.0013021,-0.0116487,0
29,-0.0104995,0.0001664,-0.348188,-0.000865838,-0.00822938,0
30,-0.0102168,0.000187496,-0.387168,-0.00134632,-0.00306059,0
31,-0.00991944,0.000189508,-0.378229,-0.00136442,0.00244701,0
32,-0.00961432,0.000193252,-0.363313,0.000385984,0.00692415,0
33,-0.00931355,0.000207738,-0.308289,0.00282095,0.0090569,0
34,-0.00904428,0.000229435,-0.272059,0.00788288,0.00770181,0
35,-0.00863006,0.000106016,-0.302582,0.00606286,-0.00297218,0
36,-0.00861022,1.52365e-013,-0.304522,2.53243e-014,-0.00291684,0
37,-0.00863006,-0.000106016,-0.302582,-0.00606286,-0.00297218,0
38,-0.00904428,-0.000229435,-0.272059,-0.00788288,0.00770181,0
39,-0.00931355,-0.000207738,-0.308289,-0.00282095,0.0090569,0
40,-0.00961432,-0.000193252,-0.363313,-0.000385984,0.00692415,0
41,-0.00991944,-0.000189508,-0.378229,0.00136442,0.00244701,0
42,-0.0102168,-0.000187496,-0.387168,0.00134632,-0.00306059,0
43,-0.0104995,-0.0001664,-0.348188,0.000865838,-0.00822938,0
44,-0.0107805,-7.84607e-005,-0.305129,-0.0013021,-0.0116487,0
45,-0.0111606,0.000148282,-0.231939,-0.00444964,-0.0120537,0
46,-0.0119952,0.000463969,-0.182964,-0.0100699,-0.00830647,0
47,-0.00833688,0.000194886,-0.30212,0.00774451,-0.0135553,0
48,-0.00789875,0.00021721,-0.366141,0.00248425,-0.0145337,0
49,-0.00749271,0.000233383,-0.448433,-3.05385e-005,-0.0117624,0
50,-0.007094,0.000239901,-0.483775,-0.00204552,-0.00640206,0
51,-0.00669616,0.000241318,-0.512173,-0.00205121,0.000251621,0
52,-0.00629909,0.000238706,-0.481147,-0.00192282,0.00680754,0
53,-0.00590162,0.000227448,-0.444818,0.000255768,0.0118775,0
54,-0.00549148,0.000198804,-0.362076,0.00288842,0.0141647,0
55,-0.00502412,0.000159044,-0.302492,0.00841677,0.0125253,0
56,-0.00481561,9.49013e-005,-0.313739,0.00643694,0.000913963,0
57,-0.00485095,1.83441e-013,-0.314862,2.44683e-014,0.000905231,0
58,-0.00481561,-9.49013e-005,-0.313739,-0.00643694,0.000913963,0
59,-0.00502412,-0.000159044,-0.302492,-0.00841677,0.0125253,0
60,-0.00549148,-0.000198804,-0.362076,-0.00288842,0.0141647,0
61,-0.00590162,-0.000227448,-0.444818,-0.000255768,0.0118775,0
62,-0.00629909,-0.000238706,-0.481147,0.00192282,0.00680754,0
63,-0.00669616,-0.000241318,-0.512173,0.00205121,0.000251621,0
64,-0.007094,-0.000239901,-0.483775,0.00204552,-0.00640206,0
65,-0.00749271,-0.000233383,-0.448433,3.05385e-005,-0.0117624,0
66,-0.00789875,-0.00021721,-0.366141,-0.00248425,-0.0145337,0
67,-0.00833688,-0.000194886,-0.30212,-0.00774451,-0.0135553,0
68,-0.00439138,0.00022059,-0.293443,0.00844478,-0.010711,0
69,-0.004226,0.000180868,-0.343769,0.00292284,-0.0124076,0
70,-0.00400343,0.000152317,-0.418424,0.000340295,-0.010213,0
71,-0.00376835,0.00014121,-0.446022,-0.00185347,-0.00527505,0
72,-0.00353335,0.000138565,-0.470688,-0.00190775,0.00111358,0
73,-0.00329994,0.000138695,-0.434803,-0.00193791,0.00756064,0
74,-0.00306749,0.000139821,-0.395601,0.000181233,0.0126795,0
75,-0.0028363,0.000142106,-0.307753,0.00264685,0.0151707,0
76,-0.00260938,0.000145085,-0.243123,0.00806571,0.0138837,0
77,-0.00236339,7.13898e-005,-0.244253,0.00620098,0.0028934,0
78,-0.0023608,1.76452e-013,-0.244259,1.3525e-014,0.00287184,0
79,-0.00236339,-7.13898e-005,-0.244253,-0.00620098,0.0028934,0
80,-0.00260938,-0.000145085,-0.243123,-0.00806571,0.0138837,0
81,-0.0028363,-0.000142106,-0.307753,-0.00264685,0.0151707,0
82,-0.00306749,-0.000139821,-0.395601,-0.000181233,0.0126795,0
83,-0.00329994,-0.000138695,-0.434803,0.00193791,0.00756064,0
84,-0.00353335,-0.000138565,-0.470688,0.00190775,0.00111358,0
85,-0.00376835,-0.00014121,-0.446022,0.00185347,-0.00527505,0
86,-0.00400343,-0.000152317,-0.418424,-0.000340295,-0.010213,0
87,-0.004226,-0.000180868,-0.343769,-0.00292284,-0.0124076,0
88,-0.00439138,-0.00022059,-0.293443,-0.00844478,-0.010711,0
89,-0.00213324,0.000140521,-0.214196,0.00812587,-0.00813187,0
90,-0.00188397,0.000143424,-0.250242,0.00275969,-0.00956466,0
91,-0.00163874,0.000145648,-0.310762,0.000361999,-0.00731558,0
92,-0.00139425,0.000147196,-0.323657,-0.00171173,-0.00253642,0
93,-0.00115027,0.000149684,-0.335756,-0.00160498,0.00347456,0
94,-0.000909755,0.000154088,-0.288988,-0.00151136,0.00932981,0
95,-0.000680871,0.000156546,-0.243093,0.000770996,0.0136381,0
96,-0.000476181,0.000128277,-0.15245,0.00339275,0.0151065,0
97,-0.000287003,3.34623e-005,-0.0912412,0.00903065,0.0125913,0
98,-1.04359e-015,-0.000184733,-0.106905,0.00674866,3.7472e-014,0
99,4.56357e-016,1.62714e-013,-0.107986,3.73371e-015,3.62151e-014,0
100,2.02736e-015,0.000184733,-0.106905,-0.00674866,3.79909e-014,0
101,-0.000287003,-3.34623e-005,-0.0912412,-0.00903065,0.0125913,0
102,-0.000476181,-0.000128277,-0.15245,-0.00339275,0.0151065,0
103,-0.000680871,-0.000156546,-0.243093,-0.000770996,0.0136381,0
104,-0.000909755,-0.000154088,-0.288988,0.00151136,0.00932981,0
105,-0.00115027,-0.000149684,-0.335756,0.00160498,0.00347456,0
106,-0.00139425,-0.000147196,-0.323657,0.00171173,-0.00253642,0
107,-0.00163874,-0.000145648,-0.310762,-0.000361999,-0.00731558,0
108,-0.00188397,-0.000143424,-0.250242,-0.00275969,-0.00956466,0
109,-0.00213324,-0.000140521,-0.214196,-0.00812587,-0.00813187,0
110,0.000287003,3.34623e-005,-0.0912412,0.00903065,-0.0125913,0
111,0.000476181,0.000128277,-0.15245,0.00339275,-0.0151065,0
112,0.000680871,0.000156546,-0.243093,0.000770996,-0.0136381,0
113,0.000909755,0.000154088,-0.288988,-0.00151136,-0.00932981,0
114,0.00115027,0.000149684,-0.335756,-0.00160498,-0.00347456,0
115,0.00139425,0.000147196,-0.323657,-0.00171173,0.00253642,0
116,0.00163874,0.000145648,-0.310762,0.000361999,0.00731558,0
117,0.00188397,0.000143424,-0.250242,0.00275969,0.00956466,0
