instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,8.90757e-15,-0.000129248,-0.0141811,0.2809227915423325,95.1951643384817,95.1943087088036
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,-3.95243e-15,0.000129248,-0.0141811,0.2809227915423325,95.1951643384817,95.1943087088036
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,7.09138e-15,-0.000401452,-0.0153566,0.2796831393022424,94.79647439835746,94.79321888990178
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,-2.76986e-15,0.000401452,-0.0153566,0.2796831393022424,94.79647439835746,94.79321888990178
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00210821,-0.000138463,-0.0169047,0.2787209258665198,94.28652200900937,94.23694003002723
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00210821,-0.000138463,-0.0169047,0.2787209258665198,94.28652200900937,94.23694003002723
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00210821,0.000138463,-0.0169047,0.2787209258665198,94.28652200900937,94.23694003002723
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00210821,0.000138463,-0.0169047,0.2787209258665198,94.28652200900937,94.23694003002723
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,3.39921e-15,-0.000953721,-0.0165267,0.2784464364258544,94.40024892517869,94.38771701021398
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,-3.6552e-16,0.000953721,-0.0165267,0.2784464364258544,94.40024892517869,94.38771701021398
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,-3.02109e-16,-0.00150599,-0.0176913,0.27721005283313455,94.00558098258428,93.97894936072385
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,2.04176e-15,0.00150599,-0.0176913,0.27721005283313455,94.00558098258428,93.97894936072385
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,-2.14407e-15,-0.00177819,-0.0188504,0.27597048135022584,93.61125568922908,93.57741676898041
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,3.22848e-15,0.00177819,-0.0188504,0.27597048135022584,93.61125568922908,93.57741676898041
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,-1.75744e-15,-0.00165962,-0.0211491,0.2735814893764202,92.82833390232022,92.80188450951977
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,3.0317e-15,0.00165962,-0.0211491,0.2735814893764202,92.82833390232022,92.80188450951977
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00421641,-0.000162956,-0.0238814,0.2724139430094295,91.95726153512102,91.81362071014821
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00421641,-0.000162956,-0.0238814,0.2724139430094295,91.95726153512102,91.81362071014821
PART-SUPPORTBEAM-1,170,SupportBeam/B31,7.69231,-10.0,-30.0,0.0012876368,-0.002742094,-0.29622424,-0.00421641,0.000162956,-0.0238814,0.2724139430094295,91.95726153512102,91.81362071014821
PART-SUPPORTBEAM-1,201,SupportBeam/B31,-7.69231,-10.0,-30.0,-0.0012876368,-0.002742094,-0.29622424,0.00421641,0.000162956,-0.0238814,0.2724139430094295,91.95726153512102,91.81362071014821
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,-2.04698e-15,-0.00137617,-0.0234422,0.2711917105112536,92.04629568204622,92.02968785532046
PART-SUPPORTBEAM-1,186,SupportBeam/B31,0.0,-10.0,-7.5,-9.525197e-16,-0.00097364635,-0.29462373,3.07642e-15,0.00137617,-0.0234422,0.2711917105112536,92.04629568204622,92.02968785532046
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,-4.48193e-15,-0.00100439,-0.02573,0.26880237832007237,91.26551058135158,91.25733168752298
PART-SUPPORTBEAM-1,187,SupportBeam/B31,0.0,-10.0,-3.75,-6.581144e-16,-0.0006801343,-0.2945271,4.03675e-15,0.00100439,-0.02573,0.26880237832007237,91.26551058135158,91.25733168752298
PART-SUPPORTBEAM-2,10,SupportBeam/B31,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-1.05126e-14,-0.000620849,-0.0280123,0.26641464597142883,90.48633090062559,90.48343339307621
PART-FLOOR-1,9,Floor/S4R,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-1.05126e-14,-0.000620849,-0.0280123,0.26641464597142883,90.48633090062559,90.48343339307621
PART-FLOOR-1,10,Floor/S4R,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,6.54157e-15,0.000620849,-0.0280123,0.26641464597142883,90.48633090062559,90.48343339307621
PART-SUPPORTBEAM-1,10,SupportBeam/B31,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,6.54157e-15,0.000620849,-0.0280123,0.26641464597142883,90.48633090062559,90.48343339307621
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,-0.00124716,-0.000783325,-0.0312801,0.26343076050256825,89.38991081895902,89.37397121181347
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.00124716,-0.000783325,-0.0312801,0.26343076050256825,89.38991081895902,89.37397121181347
PART-SUPPORTBEAM-1,141,SupportBeam/B31,-3.33333,-10.0,-2.0,0.001307067,-0.0005426483,-0.29469514,-0.00124716,0.000783325,-0.0312801,0.26343076050256825,89.38991081895902,89.37397121181347
PART-SUPPORTBEAM-1,155,SupportBeam/B31,3.33333,-10.0,-2.0,-0.001307067,-0.0005426483,-0.29469514,0.00124716,0.000783325,-0.0312801,0.26343076050256825,89.38991081895902,89.37397121181347
PART-SUPPORTBEAM-2,171,SupportBeam/B31,11.53846,10.0,-30.0,0.0019314553,0.0027400749,-0.29640955,-0.00632462,-0.000199336,-0.0339628,0.2625930301842774,88.58561974822803,88.34550420911566
PART-SUPPORTBEAM-2,202,SupportBeam/B31,-11.53846,10.0,-30.0,-0.0019314553,0.0027400749,-0.29640955,0.00632462,-0.000199336,-0.0339628,0.2625930301842774,88.58561974822803,88.34550420911566
PART-SUPPORTBEAM-1,171,SupportBeam/B31,11.53846,-10.0,-30.0,0.0019314553,-0.0027400749,-0.29640955,-0.00632462,0.000199336,-0.0339628,0.2625930301842774,88.58561974822803,88.34550420911566
PART-SUPPORTBEAM-1,202,SupportBeam/B31,-11.53846,-10.0,-30.0,-0.0019314553,-0.0027400749,-0.29640955,0.00632462,0.000199336,-0.0339628,0.2625930301842774,88.58561974822803,88.34550420911566
PART-FLOOR-1,99,Floor/S4R,0.0,0.0,0.0,-4.2136686e-16,7.151421e-15,-0.3599833,-1.82215e-15,9.46793e-14,-0.097968,0.2620153,72.7854042118065,72.7854042118065
PART-FLOOR-1,341,Floor/S4R,5.0,-5.0,0.0,-0.000497431,-0.0002010983,-0.3619919,-0.000137936,5.58498e-05,-0.102513,0.2594792762518639,71.68088325370849,71.68085932095242
PART-FLOOR-1,343,Floor/S4R,5.0,5.0,0.0,-0.000497431,0.0002010983,-0.3619919,-0.000137936,-5.58498e-05,-0.102513,0.2594792762518639,71.68088325370849,71.68085932095242
PART-FLOOR-1,344,Floor/S4R,-5.0,-5.0,0.0,0.000497431,-0.0002010983,-0.3619919,0.000137936,5.58498e-05,-0.102513,0.2594792762518639,71.68088325370849,71.68085932095242
PART-FLOOR-1,346,Floor/S4R,-5.0,5.0,0.0,0.000497431,0.0002010983,-0.3619919,0.000137936,-5.58498e-05,-0.102513,0.2594792762518639,71.68088325370849,71.68085932095242
PART-SUPPORTBEAM-2,142,SupportBeam/B31,-6.66667,10.0,-4.0,0.003023396,0.0006974005,-0.29564145,-0.000777835,-0.000898698,-0.0374028,0.25827155716679207,87.35491400068123,87.34290499082636
PART-SUPPORTBEAM-2,156,SupportBeam/B31,6.66667,10.0,-4.0,-0.003023396,0.0006974005,-0.29564145,0.000777835,-0.000898698,-0.0374028,0.25827155716679207,87.35491400068123,87.34290499082636
PART-SUPPORTBEAM-1,142,SupportBeam/B31,-6.66667,-10.0,-4.0,0.003023396,-0.0006974005,-0.29564145,-0.000777835,0.000898698,-0.0374028,0.25827155716679207,87.35491400068123,87.34290499082636
PART-SUPPORTBEAM-1,156,SupportBeam/B31,6.66667,-10.0,-4.0,-0.003023396,-0.0006974005,-0.29564145,0.000777835,0.000898698,-0.0374028,0.25827155716679207,87.35491400068123,87.34290499082636
