node,U1,U2,U3,R1,R2,R3
1,-0.013533,0.000198519,-0.150157,-0.0161723,0.00641904,0
2,-0.013533,-0.000198519,-0.150157,0.0161723,0.00641904,0
3,-0.00877783,0.000199433,-0.216492,0.0130214,-0.00277283,0
4,-0.00877783,-0.000199433,-0.216492,-0.0130214,-0.00277283,0
5,-0.00434281,0.000184095,-0.216224,0.0138124,0.000977886,0
6,-0.00434281,-0.000184095,-0.216224,-0.0138124,0.000977886,0
7,-0.00247609,0.00014185,-0.151768,0.0133146,0.00260563,0
8,-0.00247609,-0.00014185,-0.151768,-0.0133146,0.00260563,0
9,2.18385e-015,-0.000641997,-0.0249462,0.0143505,1.3909e-014,0
10,-3.43977e-015,0.000641997,-0.0249462,-0.0143505,1.15273e-014,0
11,0.00247609,0.00014185,-0.151768,0.0133146,-0.00260563,0
12,0.00247609,-0.00014185,-0.151768,-0.0133146,-0.00260563,0
13,0.00434281,0.000184095,-0.216224,0.0138124,-0.000977886,0
14,0.00434281,-0.000184095,-0.216224,-0.0138124,-0.000977886,0
15,0.00877783,0.000199433,-0.216492,0.0130214,0.00277283,0
16,0.00877783,-0.000199433,-0.216492,-0.0130214,0.00277283,0
17,0.013533,-0.000198519,-0.150157,0.0161723,-0.00641904,0
18,0.013533,0.000198519,-0.150157,-0.0161723,-0.00641904,0
19,0.00174684,-0.00104714,-0.00114454,0.00441399,0.0390669,0
20,0.00174684,0.00104714,-0.00114454,-0.00441399,0.0390669,0
21,-0.00174684,0.00104714,-0.00114454,-0.00441399,-0.0390669,0
22,-0.00174684,-0.00104714,-0.00114454,0.00441399,-0.0390669,0
23,-0.0104109,9.92657e-005,-0.218474,-0.0074447,0.00634982,0
24,-0.0101578,2.27629e-014,-0.227598,6.7243e-015,0.00611248,0
25,-0.0104109,-9.92657e-005,-0.218474,0.0074447,0.00634982,0
26,-0.0115141,-0.000418901,-0.170405,0.0100711,-0.00802,0
27,-0.0107643,-0.000134613,-0.217742,0.00444326,-0.0117637,0
28,-0.0104238,6.95503e-005,-0.289654,0.00130653,-0.0113578,0
29,-0.0101724,0.000148687,-0.3311,-0.000867936,-0.00794026,0
30,-0.00991928,0.000167699,-0.368788,-0.00133907,-0.00277607,0
31,-0.00965269,0.000170008,-0.35831,-0.00136243,0.00272419,0
32,-0.00937907,0.000175457,-0.342152,0.000396163,0.00719118,0
33,-0.00911171,0.000193854,-0.285712,0.00282718,0.00931111,0
34,-0.00888344,0.000220841,-0.248347,0.00789665,0.00794044,0
35,-0.00847611,9.9698e-005,-0.277768,0.00606912,-0.0027531,0
36,-0.00845161,5.24875e-014,-0.279638,1.42587e-014,-0.00269815,0
37,-0.00847611,-9.9698e-005,-0.277768,-0.00606912,-0.0027531,0
38,-0.00888344,-0.000220841,-0.248347,-0.00789665,0.00794044,0
39,-0.00911171,-0.000193854,-0.285712,-0.00282718,0.00931111,0
40,-0.00937907,-0.000175457,-0.342152,-0.000396163,0.00719118,0
41,-0.00965269,-0.000170008,-0.35831,0.00136243,0.00272419,0
42,-0.00991928,-0.000167699,-0.368788,0.00133907,-0.00277607,0
43,-0.0101724,-0.000148687,-0.3311,0.000867936,-0.00794026,0
44,-0.0104238,-6.95503e-005,-0.289654,-0.00130653,-0.0113578,0
45,-0.0107643,0.000134613,-0.217742,-0.00444326,-0.0117637,0
46,-0.0115141,0.000418901,-0.170405,-0.0100711,-0.00802,0
47,-0.00821822,0.000178187,-0.276208,0.00775903,-0.0133564,0
48,-0.00778126,0.000205745,-0.339207,0.00249369,-0.0143533,0
49,-0.00738393,0.000225679,-0.42071,-1.81293e-005,-0.0115998,0
50,-0.00699557,0.000233656,-0.455221,-0.00203712,-0.00625641,0
51,-0.00660806,0.000235423,-0.482988,-0.00204029,0.000381075,0
52,-0.00622108,0.000232832,-0.451304,-0.00191533,0.00692163,0
53,-0.00583358,0.000221588,-0.414487,0.000265186,0.011977,0
54,-0.00543342,0.000193061,-0.331242,0.00289458,0.0142504,0
55,-0.00497632,0.00015349,-0.271302,0.00842382,0.0125978,0
56,-0.00477678,9.20479e-005,-0.282231,0.00643959,0.00097556,0
57,-0.00481195,5.2153e-014,-0.283328,1.55223e-014,0.000965977,0
58,-0.00477678,-9.20479e-005,-0.282231,-0.00643959,0.00097556,0
59,-0.00497632,-0.00015349,-0.271302,-0.00842382,0.0125978,0
60,-0.00543342,-0.000193061,-0.331242,-0.00289458,0.0142504,0
61,-0.00583358,-0.000221588,-0.414487,-0.000265186,0.011977,0
62,-0.00622108,-0.000232832,-0.451304,0.00191533,0.00692163,0
63,-0.00660806,-0.000235423,-0.482988,0.00204029,0.000381075,0
64,-0.00699557,-0.000233656,-0.455221,0.00203712,-0.00625641,0
65,-0.00738393,-0.000225679,-0.42071,1.81293e-005,-0.0115998,0
66,-0.00778126,-0.000205745,-0.339207,-0.00249369,-0.0143533,0
67,-0.00821822,-0.000178187,-0.276208,-0.00775903,-0.0133564,0
68,-0.0043626,0.000214728,-0.261633,0.008454,-0.0106618,0
69,-0.00420599,0.000175196,-0.311725,0.00293405,-0.0123773,0
70,-0.00399247,0.00014677,-0.38631,0.000356271,-0.0102062,0
71,-0.00376647,0.00013569,-0.413916,-0.00183581,-0.0052965,0
72,-0.00354047,0.000133065,-0.438791,-0.00188576,0.00105919,0
73,-0.00331589,0.000133431,-0.403245,-0.00191385,0.00746872,0
74,-0.00309225,0.000135546,-0.364625,0.000209843,0.0125453,0
75,-0.00287098,0.00014038,-0.277537,0.00267895,0.0149898,0
76,-0.0026591,0.000146909,-0.213952,0.00810473,0.0136518,0
77,-0.00240501,7.09286e-005,-0.216556,0.00622177,0.00259991,0
78,-0.00239926,3.81197e-014,-0.216593,6.03281e-015,0.0025812,0
79,-0.00240501,-7.09286e-005,-0.216556,-0.00622177,0.00259991,0
80,-0.0026591,-0.000146909,-0.213952,-0.00810473,0.0136518,0
81,-0.00287098,-0.00014038,-0.277537,-0.00267895,0.0149898,0
82,-0.00309225,-0.000135546,-0.364625,-0.000209843,0.0125453,0
83,-0.00331589,-0.000133431,-0.403245,0.00191385,0.00746872,0
84,-0.00354047,-0.000133065,-0.438791,0.00188576,0.00105919,0
85,-0.00376647,-0.00013569,-0.413916,0.00183581,-0.0052965,0
86,-0.00399247,-0.00014677,-0.38631,-0.000356271,-0.0102062,0
87,-0.00420599,-0.000175196,-0.311725,-0.00293405,-0.0123773,0
88,-0.0043626,-0.000214728,-0.261633,-0.008454,-0.0106618,0
89,-0.00218605,0.00013684,-0.187962,0.00815708,-0.00848228,0
90,-0.00192482,0.000143288,-0.225842,0.00277641,-0.00994671,0
91,-0.00167273,0.000148074,-0.288339,0.000367132,-0.00771219,0
92,-0.00142248,0.000150688,-0.303216,-0.00171852,-0.00293024,0
93,-0.00117278,0.000153652,-0.317258,-0.00162237,0.00310117,0
94,-0.000926754,0.000158518,-0.272271,-0.00154058,0.00899426,0
95,-0.000693493,0.000161206,-0.227937,0.000730629,0.013358,0
96,-0.000486909,0.000129987,-0.138527,0.00333875,0.0148991,0
97,-0.000297442,2.53296e-005,-0.0781542,0.00896149,0.0124735,0
98,9.31087e-016,-0.000209704,-0.0938169,0.00670845,1.34247e-014,0
99,-2.79556e-016,3.78294e-014,-0.0947979,1.41186e-015,1.23345e-014,0
100,-1.54286e-015,0.000209704,-0.0938169,-0.00670845,1.20148e-014,0
101,-0.000297442,-2.53296e-005,-0.0781542,-0.00896149,0.0124735,0
102,-0.000486909,-0.000129987,-0.138527,-0.00333875,0.0148991,0
103,-0.000693493,-0.000161206,-0.227937,-0.000730629,0.013358,0
104,-0.000926754,-0.000158518,-0.272271,0.00154058,0.00899426,0
105,-0.00117278,-0.000153652,-0.317258,0.00162237,0.00310117,0
106,-0.00142248,-0.000150688,-0.303216,0.00171852,-0.00293024,0
107,-0.00167273,-0.000148074,-0.288339,-0.000367132,-0.00771219,0
108,-0.00192482,-0.000143288,-0.225842,-0.00277641,-0.00994671,0
109,-0.00218605,-0.00013684,-0.187962,-0.00815708,-0.00848228,0
110,0.000297442,2.53296e-005,-0.0781542,0.00896149,-0.0124735,0
111,0.000486909,0.000129987,-0.138527,0.00333875,-0.0148991,0
112,0.000693493,0.000161206,-0.227937,0.000730629,-0.013358,0
113,0.000926754,0.000158518,-0.272271,-0.00154058,-0.00899426,0
114,0.00117278,0.000153652,-0.317258,-0.00162237,-0.00310117,0
115,0.00142248,0.000150688,-0.303216,-0.00171852,0.00293024,0
116,0.00167273,0.000148074,-0.288339,0.000367132,0.00771219,0
117,0.00192482,0.000143288,-0.225842,0.00277641,0.00994671,0
118,0.00218605,0.00013684,-0.187962,0.00815708,0.00848228,0
119,0.00240501,7.09286e-005,-0.216556,0.00622177,-0.00259991,0
120,0.00239926,5.66676e-014,-0.216593,5.98269e-015,-0.0025812,0
121,0.00240501,-7.09286e-005,-0.216556,-0.00622177,-0.00259991,0
122,0.00218605,-0.00013684,-0.187962,-0.00815708,0.00848228,0
123,0.00192482,-0.000143288,-0.225842,-0.00277641,0.00994671,0
124,0.00167273,-0.000148074,-0.288339,-0.000367132,0.00771219,0
125,0.00142248,-0.000150688,-0.303216,0.00171852,0.00293024,0
126,0.00117278,-0.000153652,-0.317258,0.00162237,-0.00310117,0
127,0.000926754,-0.000158518,-0.272271,0.00154058,-0.00899426,0
128,0.000693493,-0.000161206,-0.227937,-0.000730629,-0.013358,0
129,0.000486909,-0.000129987,-0.138527,-0.00333875,-0.0148991,0
130,0.000297442,-2.53296e-005,-0.0781542,-0.00896149,-0.0124735,0
131,0.0026591,0.000146909,-0.213952,0.00810473,-0.0136518,0
132,0.00287098,0.00014038,-0.277537,0.00267895,-0.0149898,0
133,0.00309225,0.000135546,-0.364625,0.000209843,-0.0125453,0
134,0.00331589,0.000133431,-0.403245,-0.00191385,-0.00746872,0
135,0.00354047,0.000133065,-0.438791,-0.00188576,-0.00105919,0
