instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,7.72076e-15,-9.52048e-05,-0.0120218,0.283081636019372,95.92672319009601,95.92609376241066
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,4.6361e-15,9.52048e-05,-0.0120218,0.283081636019372,95.92672319009601,95.92609376241066
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,7.27207e-15,-0.000340394,-0.0131082,0.28193081323059954,95.55830639343924,95.55557747171113
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,3.63733e-15,0.000340394,-0.0131082,0.28193081323059954,95.55830639343924,95.55557747171113
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00207284,-0.000102298,-0.014687,0.2809376881049938,95.036414759031,94.98228161035894
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00207284,-0.000102298,-0.014687,0.2809376881049938,95.036414759031,94.98228161035894
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00207284,0.000102298,-0.014687,0.2809376881049938,95.036414759031,94.98228161035894
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00207284,0.000102298,-0.014687,0.2809376881049938,95.036414759031,94.98228161035894
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,6.36354e-15,-0.000837853,-0.0141892,0.2807825347282241,95.19224419754809,95.18113005821145
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,1.60995e-15,0.000837853,-0.0141892,0.2807825347282241,95.19224419754809,95.18113005821145
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,5.4521e-15,-0.00133531,-0.0152647,0.27963447565997673,94.82773470340165,94.80377115419513
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,-4.21386e-16,0.00133531,-0.0152647,0.27963447565997673,94.82773470340165,94.80377115419513
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,4.99795e-15,-0.0015805,-0.0163347,0.2784836980067747,94.46375761583933,94.43327113813501
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,-1.42819e-15,0.0015805,-0.0163347,0.2784836980067747,94.46375761583933,94.43327113813501
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,4.22372e-15,-0.00148366,-0.0184958,0.27623283044631836,93.72795461381801,93.70407204914363
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,-1.43174e-15,0.00148366,-0.0184958,0.27623283044631836,93.72795461381801,93.70407204914363
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00414569,-0.000121001,-0.0215032,0.27478967988586517,92.75922583574223,92.60750052066086
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00414569,-0.000121001,-0.0215032,0.27478967988586517,92.75922583574223,92.60750052066086
