instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,5.82787e-15,-7.98177e-05,-0.0119662,0.28313707935839877,95.945511048999,95.94497224606133
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,1.05993e-15,7.98177e-05,-0.0119662,0.28313707935839877,95.945511048999,95.94497224606133
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,5.61088e-15,-0.000314437,-0.0130448,0.2819939547179354,95.57970772067922,95.57727989523069
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,9.23626e-16,0.000314437,-0.0130448,0.2819939547179354,95.57970772067922,95.57727989523069
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00199153,-8.8363e-05,-0.0145932,0.28103056391304837,95.0678330563584,95.01752257577317
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00199153,-8.8363e-05,-0.0145932,0.28103056391304837,95.0678330563584,95.01752257577317
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00199153,8.8363e-05,-0.0145932,0.28103056391304837,95.0678330563584,95.01752257577317
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00199153,8.8363e-05,-0.0145932,0.28103056391304837,95.0678330563584,95.01752257577317
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,5.16866e-15,-0.00079045,-0.014118,0.28085323012623703,95.21621169110249,95.20615166644176
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,6.46228e-16,0.00079045,-0.014118,0.28085323012623703,95.21621169110249,95.20615166644176
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,4.71951e-15,-0.00126646,-0.0151857,0.27971269336092836,94.854259356263,94.83245145179932
