node,U1,U2,U3,R1,R2,R3
1,-0.0091325,0.00015347,-0.138675,-0.0107633,0.00363142,0
2,-0.0091325,-0.00015347,-0.138675,0.0107633,0.00363142,0
3,-0.00594473,0.000126278,-0.205731,0.00865925,-0.00211417,0
4,-0.00594473,-0.000126278,-0.205731,-0.00865925,-0.00211417,0
5,-0.00317843,0.00012233,-0.209705,0.00919437,0.000735006,0
6,-0.00317843,-0.00012233,-0.209705,-0.00919437,0.000735006,0
7,-0.00176426,0.000101634,-0.147762,0.00878563,0.00257128,0
8,-0.00176426,-0.000101634,-0.147762,-0.00878563,0.00257128,0
9,1.98347e-015,-0.000413737,-0.0247514,0.00977089,9.60516e-015,0
10,-1.18969e-015,0.000413737,-0.0247514,-0.00977089,7.38512e-015,0
11,0.00176426,0.000101634,-0.147762,0.00878563,-0.00257128,0
12,0.00176426,-0.000101634,-0.147762,-0.00878563,-0.00257128,0
13,0.00317843,0.00012233,-0.209705,0.00919437,-0.000735006,0
14,0.00317843,-0.00012233,-0.209705,-0.00919437,-0.000735006,0
15,0.00594473,0.000126278,-0.205731,0.00865925,0.00211417,0
16,0.00594473,-0.000126278,-0.205731,-0.00865925,0.00211417,0
17,0.0091325,-0.00015347,-0.138675,0.0107633,-0.00363142,0
18,0.0091325,0.00015347,-0.138675,-0.0107633,-0.00363142,0
19,0.000605696,-0.000435499,-0.000324401,0.00300291,0.0269033,0
20,0.000605696,0.000435499,-0.000324401,-0.00300291,0.0269033,0
21,-0.000605696,0.000435499,-0.000324401,-0.00300291,-0.0269033,0
22,-0.000605696,-0.000435499,-0.000324401,0.00300291,-0.0269033,0
23,-0.00691498,7.67346e-005,-0.183937,-0.00495211,0.00358565,0
24,-0.00673524,-2.22339e-014,-0.190185,-7.95265e-016,0.00342809,0
25,-0.00691498,-7.67346e-005,-0.183937,0.00495211,0.00358565,0
26,-0.00771931,-0.000309985,-0.155132,0.00668583,-0.00595624,0
27,-0.0072075,-0.000108062,-0.189812,0.00294364,-0.00841464,0
28,-0.00698641,3.69582e-005,-0.240367,0.000844102,-0.00810624,0
29,-0.00682865,9.3184e-005,-0.270714,-0.00059784,-0.0057901,0
30,-0.00666972,0.000106683,-0.298101,-0.000918981,-0.00230918,0
31,-0.00650131,0.00010817,-0.293428,-0.000928288,0.00139581,0
32,-0.00632791,0.000111401,-0.284557,0.000238221,0.00441224,0
33,-0.00615824,0.000122823,-0.248838,0.00186399,0.005864,0
34,-0.00601304,0.000139701,-0.225463,0.00523864,0.00498893,0
35,-0.00575558,6.31252e-005,-0.246418,0.00403448,-0.00210102,0
36,-0.00574021,-6.53257e-014,-0.247709,-5.31592e-015,-0.00206456,0
37,-0.00575558,-6.31252e-005,-0.246418,-0.00403448,-0.00210102,0
38,-0.00601304,-0.000139701,-0.225463,-0.00523864,0.00498893,0
39,-0.00615824,-0.000122823,-0.248838,-0.00186399,0.005864,0
40,-0.00632791,-0.000111401,-0.284557,-0.000238221,0.00441224,0
41,-0.00650131,-0.00010817,-0.293428,0.000928288,0.00139581,0
42,-0.00666972,-0.000106683,-0.298101,0.000918981,-0.00230918,0
43,-0.00682865,-9.3184e-005,-0.270714,0.00059784,-0.0057901,0
44,-0.00698641,-3.69582e-005,-0.240367,-0.000844102,-0.00810624,0
45,-0.0072075,0.000108062,-0.189812,-0.00294364,-0.00841464,0
46,-0.00771931,0.000309985,-0.155132,-0.00668583,-0.00595624,0
47,-0.00559183,0.000112953,-0.2467,0.00514766,-0.00913106,0
48,-0.00531582,0.000130222,-0.289803,0.00164163,-0.00975792,0
49,-0.00506465,0.000142697,-0.344932,-3.56379e-005,-0.00788524,0
50,-0.00481906,0.000147664,-0.368662,-0.00137812,-0.0042868,0
51,-0.0045739,0.000148779,-0.387614,-0.00138242,0.000173656,0
52,-0.00432888,0.000147451,-0.36685,-0.00129599,0.0045687,0
53,-0.00408352,0.000141641,-0.342408,0.000156154,0.00797287,0
54,-0.00383161,0.000126949,-0.286922,0.00191232,0.00952167,0
55,-0.00355041,0.000106583,-0.246738,0.00559838,0.00845265,0
56,-0.00340173,6.11649e-005,-0.253624,0.00428511,0.000734031,0
57,-0.00341982,-1.10862e-013,-0.254364,-4.14437e-015,0.000729374,0
58,-0.00340173,-6.11649e-005,-0.253624,-0.00428511,0.000734031,0
59,-0.00355041,-0.000106583,-0.246738,-0.00559838,0.00845265,0
60,-0.00383161,-0.000126949,-0.286922,-0.00191232,0.00952167,0
61,-0.00408352,-0.000141641,-0.342408,-0.000156154,0.00797287,0
62,-0.00432888,-0.000147451,-0.36685,0.00129599,0.0045687,0
63,-0.0045739,-0.000148779,-0.387614,0.00138242,0.000173656,0
64,-0.00481906,-0.000147664,-0.368662,0.00137812,-0.0042868,0
65,-0.00506465,-0.000142697,-0.344932,3.56379e-005,-0.00788524,0
66,-0.00531582,-0.000130222,-0.289803,-0.00164163,-0.00975792,0
67,-0.00559183,-0.000112953,-0.2467,-0.00514766,-0.00913106,0
68,-0.00314261,0.000138091,-0.23946,0.00561392,-0.0069918,0
69,-0.00301602,0.000117749,-0.2722,0.00192886,-0.00809111,0
70,-0.00286014,0.000103119,-0.320972,0.000203067,-0.00659089,0
71,-0.00269784,9.74111e-005,-0.338188,-0.00126272,-0.00325645,0
72,-0.00253551,9.60618e-005,-0.353208,-0.00130278,0.00105066,0
73,-0.00237389,9.63047e-005,-0.327624,-0.00132654,0.00540208,0
74,-0.00221274,9.76213e-005,-0.299531,8.17146e-005,0.00887354,0
75,-0.00205308,0.000100696,-0.238719,0.00171989,0.0105985,0
76,-0.00189941,0.000104873,-0.193039,0.00532415,0.0098092,0
77,-0.00171871,5.0818e-005,-0.190598,0.00410571,0.00256526,0
78,-0.00171502,-1.45564e-013,-0.190542,-8.11015e-015,0.00254584,0
79,-0.00171871,-5.0818e-005,-0.190598,-0.00410571,0.00256526,0
80,-0.00189941,-0.000104873,-0.193039,-0.00532415,0.0098092,0
81,-0.00205308,-0.000100696,-0.238719,-0.00171989,0.0105985,0
82,-0.00221274,-9.76213e-005,-0.299531,-8.17146e-005,0.00887354,0
83,-0.00237389,-9.63047e-005,-0.327624,0.00132654,0.00540208,0
84,-0.00253551,-9.60618e-005,-0.353208,0.00130278,0.00105066,0
85,-0.00269784,-9.74111e-005,-0.338188,0.00126272,-0.00325645,0
86,-0.00286014,-0.000103119,-0.320972,-0.000203067,-0.00659089,0
87,-0.00301602,-0.000117749,-0.2722,-0.00192886,-0.00809111,0
88,-0.00314261,-0.000138091,-0.23946,-0.00561392,-0.0069918,0
89,-0.00156051,9.84174e-005,-0.167385,0.005378,-0.00471018,0
90,-0.00137523,0.000102549,-0.187751,0.00182251,-0.00563082,0
91,-0.00119579,0.000105618,-0.22432,0.000243508,-0.00412438,0
92,-0.00101754,0.000107306,-0.229181,-0.00112077,-0.000959151,0
93,-0.000839649,0.000109247,-0.233687,-0.00103172,0.00299891,0
94,-0.000664178,0.000112446,-0.19926,-0.000951133,0.00682515,0
95,-0.000497099,0.000114213,-0.16588,0.000589168,0.00959169,0
96,-0.000347557,9.36937e-005,-0.103248,0.00235815,0.0104372,0
97,-0.000209265,2.49016e-005,-0.0609893,0.00614191,0.00860012,0
98,1.1777e-015,-0.000133714,-0.0714302,0.00456867,8.85435e-015,0
99,4.39849e-016,-1.55188e-013,-0.0723086,-3.23488e-015,7.80631e-015,0
100,-3.04542e-016,0.000133714,-0.0714302,-0.00456867,7.72791e-015,0
101,-0.000209265,-2.49016e-005,-0.0609893,-0.00614191,0.00860012,0
102,-0.000347557,-9.36937e-005,-0.103248,-0.00235815,0.0104372,0
103,-0.000497099,-0.000114213,-0.16588,-0.000589168,0.00959169,0
104,-0.000664178,-0.000112446,-0.19926,0.000951133,0.00682515,0
105,-0.000839649,-0.000109247,-0.233687,0.00103172,0.00299891,0
106,-0.00101754,-0.000107306,-0.229181,0.00112077,-0.000959151,0
107,-0.00119579,-0.000105618,-0.22432,-0.000243508,-0.00412438,0
108,-0.00137523,-0.000102549,-0.187751,-0.00182251,-0.00563082,0
109,-0.00156051,-9.84174e-005,-0.167385,-0.005378,-0.00471018,0
110,0.000209265,2.49016e-005,-0.0609893,0.00614191,-0.00860012,0
111,0.000347557,9.36937e-005,-0.103248,0.00235815,-0.0104372,0
112,0.000497099,0.000114213,-0.16588,0.000589168,-0.00959169,0
113,0.000664178,0.000112446,-0.19926,-0.000951133,-0.00682515,0
114,0.000839649,0.000109247,-0.233687,-0.00103172,-0.00299891,0
115,0.00101754,0.000107306,-0.229181,-0.00112077,0.000959151,0
116,0.00119579,0.000105618,-0.22432,0.000243508,0.00412438,0
117,0.00137523,0.000102549,-0.187751,0.00182251,0.00563082,0
118,0.00156051,9.84174e-005,-0.167385,0.005378,0.00471018,0
119,0.00171871,5.0818e-005,-0.190598,0.00410571,-0.00256526,0
120,0.00171502,-1.33011e-013,-0.190542,-6.94735e-015,-0.00254584,0
121,0.00171871,-5.0818e-005,-0.190598,-0.00410571,-0.00256526,0
122,0.00156051,-9.84174e-005,-0.167385,-0.005378,0.00471018,0
123,0.00137523,-0.000102549,-0.187751,-0.00182251,0.00563082,0
124,0.00119579,-0.000105618,-0.22432,-0.000243508,0.00412438,0
125,0.00101754,-0.000107306,-0.229181,0.00112077,0.000959151,0
126,0.000839649,-0.000109247,-0.233687,0.00103172,-0.00299891,0
127,0.000664178,-0.000112446,-0.19926,0.000951133,-0.00682515,0
128,0.000497099,-0.000114213,-0.16588,-0.000589168,-0.00959169,0
129,0.000347557,-9.36937e-005,-0.103248,-0.00235815,-0.0104372,0
130,0.000209265,-2.49016e-005,-0.0609893,-0.00614191,-0.00860012,0
131,0.00189941,0.000104873,-0.193039,0.00532415,-0.0098092,0
132,0.00205308,0.000100696,-0.238719,0.00171989,-0.0105985,0
133,0.00221274,9.76213e-005,-0.299531,8.17146e-005,-0.00887354,0
134,0.00237389,9.63047e-005,-0.327624,-0.00132654,-0.00540208,0
135,0.00253551,9.60618e-005,-0.353208,-0.00130278,-0.00105066,0
136,0.00269784,9.74111e-005,-0.338188,-0.00126272,0.00325645,0
137,0.00286014,0.000103119,-0.320972,0.000203067,0.00659089,0
138,0.00301602,0.000117749,-0.2722,0.00192886,0.00809111,0
139,0.00314261,0.000138091,-0.23946,0.00561392,0.0069918,0
140,0.00340173,6.11649e-005,-0.253624,0.00428511,-0.000734031,0
141,0.00341982,-9.25885e-014,-0.254364,-1.01589e-014,-0.000729374,0
142,0.00340173,-6.11649e-005,-0.253624,-0.00428511,-0.000734031,0
143,0.00314261,-0.000138091,-0.23946,-0.00561392,0.0069918,0
144,0.00301602,-0.000117749,-0.2722,-0.00192886,0.00809111,0
145,0.00286014,-0.000103119,-0.320972,-0.000203067,0.00659089,0
146,0.00269784,-9.74111e-005,-0.338188,0.00126272,0.00325645,0
147,0.00253551,-9.60618e-005,-0.353208,0.00130278,-0.00105066,0
148,0.00237389,-9.63047e-005,-0.327624,0.00132654,-0.00540208,0
149,0.00221274,-9.76213e-005,-0.299531,-8.17146e-005,-0.00887354,0
150,0.00205308,-0.000100696,-0.238719,-0.00171989,-0.0105985,0
151,0.00189941,-0.000104873,-0.193039,-0.00532415,-0.0098092,0
152,0.00355041,0.000106583,-0.246738,0.00559838,-0.00845265,0
153,0.00383161,0.000126949,-0.286922,0.00191232,-0.00952167,0
154,0.00408352,0.000141641,-0.342408,0.000156154,-0.00797287,0
155,0.00432888,0.000147451,-0.36685,-0.00129599,-0.0045687,0
156,0.0045739,0.000148779,-0.387614,-0.00138242,-0.000173656,0
157,0.00481906,0.000147664,-0.368662,-0.00137812,0.0042868,0
158,0.00506465,0.000142697,-0.344932,-3.56379e-005,0.00788524,0
159,0.00531582,0.000130222,-0.289803,0.00164163,0.00975792,0
160,0.00559183,0.000112953,-0.2467,0.00514766,0.00913106,0
161,0.00575558,6.31252e-005,-0.246418,0.00403448,0.00210102,0
162,0.00574021,-4.91554e-014,-0.247709,-4.20841e-015,0.00206456,0
163,0.00575558,-6.31252e-005,-0.246418,-0.00403448,0.00210102,0
164,0.00559183,-0.000112953,-0.2467,-0.00514766,0.00913106,0
165,0.00531582,-0.000130222,-0.289803,-0.00164163,0.00975792,0
166,0.00506465,-0.000142697,-0.344932,3.56379e-005,0.00788524,0
167,0.00481906,-0.000147664,-0.368662,0.00137812,0.0042868,0
168,0.0045739,-0.000148779,-0.387614,0.00138242,-0.000173656,0
169,0.00432888,-0.000147451,-0.36685,0.00129599,-0.0045687,0
170,0.00408352,-0.000141641,-0.342408,-0.000156154,-0.00797287,0
171,0.00383161,-0.000126949,-0.286922,-0.00191232,-0.00952167,0
172,0.00355041,-0.000106583,-0.246738,-0.00559838,-0.00845265,0
173,0.00601304,0.000139701,-0.225463,0.00523864,-0.00498893,0
174,0.00615824,0.000122823,-0.248838,0.00186399,-0.005864,0
175,0.00632791,0.000111401,-0.284557,0.000238221,-0.00441224,0
176,0.00650131,0.00010817,-0.293428,-0.000928288,-0.00139581,0
177,0.00666972,0.000106683,-0.298101,-0.000918981,0.00230918,0
178,0.00682865,9.3184e-005,-0.270714,-0.00059784,0.0057901,0
179,0.00698641,3.69582e-005,-0.240367,0.000844102,0.00810624,0
180,0.0072075,-0.000108062,-0.189812,0.00294364,0.00841464,0
181,0.00771931,-0.000309985,-0.155132,0.00668583,0.00595624,0
182,0.00691498,-7.67346e-005,-0.183937,0.00495211,-0.00358565,0
183,0.00673524,-1.50557e-014,-0.190185,-3.52705e-018,-0.00342809,0
184,0.00691498,7.67346e-005,-0.183937,-0.00495211,-0.00358565,0
185,0.00771931,0.000309985,-0.155132,-0.00668583,0.00595624,0
186,0.0072075,0.000108062,-0.189812,-0.00294364,0.00841464,0
187,0.00698641,-3.69582e-005,-0.240367,-0.000844102,0.00810624,0
188,0.00682865,-9.3184e-005,-0.270714,0.00059784,0.0057901,0
189,0.00666972,-0.000106683,-0.298101,0.000918981,0.00230918,0
190,0.00650131,-0.00010817,-0.293428,0.000928288,-0.00139581,0
191,0.00632791,-0.000111401,-0.284557,-0.000238221,-0.00441224,0
192,0.00615824,-0.000122823,-0.248838,-0.00186399,-0.005864,0
193,0.00601304,-0.000139701,-0.225463,-0.00523864,-0.00498893,0
194,0.00720761,3.00873e-006,-0.190707,0.00623234,-0.0128791,0
195,0.00618409,-0.000198943,-0.259448,0.00215237,-0.0142847,0
196,0.00545123,-0.0003441,-0.333172,-0.000533553,-0.0122454,0
197,0.0047818,-0.000400769,-0.382239,-0.00221573,-0.00748483,0
198,0.00411184,-0.00041517,-0.406476,-0.00331327,-0.000889304,0
199,0.00343466,-0.000417323,-0.391597,-0.00354671,0.00664135,0
200,0.00275736,-0.000415895,-0.339631,-0.00357495,0.0141281,0
201,0.00208754,-0.000407833,-0.252032,-0.0025138,0.0207338,0
202,0.00141888,-0.000323135,-0.13359,-0.00212845,0.0253842,0
203,0.000789529,1.46603e-005,-0.00116665,-0.00108787,0.0269386,0
204,0.000630066,-2.14147e-016,-0.000277283,2.73869e-016,0.0257856,0
205,0.000789529,-1.46603e-005,-0.00116665,0.00108787,0.0269386,0
206,0.00141888,0.000323135,-0.13359,0.00212845,0.0253842,0
207,0.00208754,0.000407833,-0.252032,0.0025138,0.0207338,0
208,0.00275736,0.000415895,-0.339631,0.00357495,0.0141281,0
209,0.00343466,0.000417323,-0.391597,0.00354671,0.00664135,0
210,0.00411184,0.00041517,-0.406476,0.00331327,-0.000889304,0
211,0.0047818,0.000400769,-0.382239,0.00221573,-0.00748483,0
212,0.00545123,0.0003441,-0.333172,0.000533553,-0.0122454,0
213,0.00618409,0.000198943,-0.259448,-0.00215237,-0.0142847,0
214,0.00720761,-3.00873e-006,-0.190707,-0.00623234,-0.0128791,0
215,-0.00720761,-3.00873e-006,-0.190707,-0.00623234,0.0128791,0
216,-0.00618409,0.000198943,-0.259448,-0.00215237,0.0142847,0
217,-0.00545123,0.0003441,-0.333172,0.000533553,0.0122454,0
218,-0.0047818,0.000400769,-0.382239,0.00221573,0.00748483,0
219,-0.00411184,0.00041517,-0.406476,0.00331327,0.000889304,0
220,-0.00343466,0.000417323,-0.391597,0.00354671,-0.00664135,0
221,-0.00275736,0.000415895,-0.339631,0.00357495,-0.0141281,0
222,-0.00208754,0.000407833,-0.252032,0.0025138,-0.0207338,0
223,-0.00141888,0.000323135,-0.13359,0.00212845,-0.0253842,0
224,-0.000789529,-1.46603e-005,-0.00116665,0.00108787,-0.0269386,0
225,-0.000630066,-2.97778e-016,-0.000277283,-3.01273e-016,-0.0257856,0
226,-0.000789529,1.46603e-005,-0.00116665,-0.00108787,-0.0269386,0
227,-0.00141888,-0.000323135,-0.13359,-0.00212845,-0.0253842,0
228,-0.00208754,-0.000407833,-0.252032,-0.0025138,-0.0207338,0
229,-0.00275736,-0.000415895,-0.339631,-0.00357495,-0.0141281,0
230,-0.00343466,-0.000417323,-0.391597,-0.00354671,-0.00664135,0
231,-0.00411184,-0.00041517,-0.406476,-0.00331327,0.000889304,0
232,-0.0047818,-0.000400769,-0.382239,-0.00221573,0.00748483,0
233,-0.00545123,-0.0003441,-0.333172,-0.000533553,0.0122454,0
234,-0.00618409,-0.000198943,-0.259448,0.00215237,0.0142847,0
235,-0.00720761,3.00873e-006,-0.190707,0.00623234,0.0128791,0
236,-0.00727272,0.000323411,-0.176568,-0.00417306,-0.00440832,0
237,-0.00693906,-2.60916e-014,-0.193406,-6.54153e-016,-0.00106648,0
238,-0.00727272,-0.000323411,-0.176568,0.00417306,-0.00440832,0
239,-0.00719206,0.000123704,-0.208654,-0.00220817,-0.00766269,0
240,-0.00710468,-3.0092e-014,-0.207888,-4.96781e-016,-0.00546493,0
241,-0.00719206,-0.000123704,-0.208654,0.00220817,-0.00766269,0
242,-0.0070336,-8.95567e-007,-0.238192,-0.000733665,-0.00768255,0
243,-0.00703111,-3.42056e-014,-0.246392,-3.11817e-016,-0.00636589,0
244,-0.0070336,8.95567e-007,-0.238192,0.000733665,-0.00768255,0
245,-0.00685785,-4.57114e-005,-0.275985,-0.00014939,-0.0055627,0
246,-0.0068684,-3.84321e-014,-0.269903,-6.98226e-016,-0.0048887,0
247,-0.00685785,4.57114e-005,-0.275985,0.00014939,-0.0055627,0
248,-0.0066811,-5.50334e-005,-0.28854,0.000253467,-0.00227481,0
249,-0.00668794,-4.27569e-014,-0.294602,-6.86517e-016,-0.0021585,0
250,-0.0066811,5.50334e-005,-0.28854,-0.000253467,-0.00227481,0
251,-0.00650601,-5.53204e-005,-0.298026,2.09162e-005,0.00125198,0
252,-0.00650916,-4.71662e-014,-0.29101,-1.17479e-015,0.000815982,0
253,-0.00650601,5.53204e-005,-0.298026,-2.09162e-005,0.00125198,0
