instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-FLOOR-1,95,Floor/S4R,15.0,10.0,0.0,-0.0011827515,0.000103795464,-0.45507059,-0.00036089,-0.230843,-1.97156,1.533974324567906,337.083770596066,336.20080343352925
PART-FLOOR-1,97,Floor/S4R,5.0,10.0,0.0,-0.0004046246,0.00014975635,-0.3296361,0.00409929,-0.240506,-1.84383,1.5332053499477245,465.12018455006216,464.09245280482975
PART-FLOOR-1,93,Floor/S4R,25.0,10.0,0.0,-0.001870357,3.2440857e-05,-0.505564,-0.00460314,-0.220781,-2.01542,1.5259197831151,301.8231792070047,301.0309496226538
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00761118,-0.259142,-1.7974,1.5238737250973975,514.4055885584017,513.0173360411238
PART-SUPPORTBEAM-2,171,SupportBeam/B31,11.53846,10.0,-30.0,0.0019314553,0.0027400749,-0.29640955,-0.000990312,-0.256051,-1.79785,1.5235828766654786,513.9798770458021,512.6240119059412
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.014232,-0.262105,-1.79475,1.5224405494410718,515.0155982225328,513.5923162782033
PART-FLOOR-1,110,Floor/S4R,-5.0,10.0,0.0,0.0004046246,0.00014975635,-0.3296361,0.00839684,-0.249201,-1.83139,1.5223351967830632,461.822565189285,460.7044778911809
PART-SUPPORTBEAM-2,172,SupportBeam/B31,15.38462,10.0,-30.0,0.0025752736,0.002737306,-0.29573292,0.00563055,-0.252836,-1.79579,1.5216761458049397,514.5025050658554,513.176184231322
PART-SUPPORTBEAM-2,157,SupportBeam/B31,10.0,10.0,-6.0,-0.0047985916,0.0008512983,-0.29668006,0.000564389,-0.240818,-1.79795,1.5206065382107672,512.4717240472756,511.352619936172
PART-FLOOR-1,96,Floor/S4R,10.0,10.0,0.0,-0.0010079407,0.00041078145,-0.39489084,0.00179943,-0.23573,-1.89675,1.5203128909767125,384.99427234336315,384.0162502630446
PART-SUPPORTBEAM-2,156,SupportBeam/B31,6.66667,10.0,-4.0,-0.003023396,0.0006974005,-0.29564145,0.00195594,-0.242295,-1.79634,1.520252031230301,514.1932270990279,513.0765058503856
PART-SUPPORTBEAM-2,158,SupportBeam/B31,13.33333,10.0,-8.0,-0.006347081,0.0010044856,-0.29733494,0.000174408,-0.23926,-1.79789,1.519682546109882,510.9819104852327,509.8566306162615
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,-0.0169063,-0.262386,-1.79026,1.5186011839357956,514.718329511867,513.3043641184406
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.00412346,-0.243685,-1.79342,1.5185034872530474,515.2735050563879,514.1545919200823
PART-SUPPORTBEAM-2,173,SupportBeam/B31,19.23077,10.0,-30.0,0.0032190923,0.002733819,-0.29391506,0.0122514,-0.249497,-1.79106,1.5182703777665565,516.5144180469302,515.214808108199
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,-0.0132681,-0.259845,-1.7902,1.5180821536088749,514.6675067170753,513.2987315850024
