instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,173,SupportBeam/B31,19.23077,10.0,-30.0,0.0032190923,0.002733819,-0.29391506,0.00182521,-0.0389225,-1.5012,1.20800418797755,410.96209824586015,410.87909599765806
PART-SUPPORTBEAM-2,172,SupportBeam/B31,15.38462,10.0,-30.0,0.0025752736,0.002737306,-0.29573292,-0.00384485,-0.041038,-1.50262,1.2076977764628696,408.34150753143314,408.25042923799487
PART-SUPPORTBEAM-2,174,SupportBeam/B31,23.07692,10.0,-30.0,0.0038629107,0.0027296448,-0.29081747,0.00749528,-0.0368588,-1.49737,1.2072072923561288,415.0533492427772,414.97740499898043
PART-SUPPORTBEAM-2,159,SupportBeam/B31,16.66667,10.0,-10.0,-0.007448112,0.0011571064,-0.29723823,-0.00021988,-0.0386802,-1.50362,1.2070609898871663,405.96160208716094,405.86833293429123
PART-SUPPORTBEAM-2,160,SupportBeam/B31,20.0,10.0,-12.0,-0.007945754,0.0013093045,-0.29613003,0.000564532,-0.0370043,-1.50237,1.2068782964670401,407.39951243532795,407.3009285081544
PART-SUPPORTBEAM-2,158,SupportBeam/B31,13.33333,10.0,-8.0,-0.006347081,0.0010044856,-0.29733494,0.0001262,-0.0404004,-1.50298,1.2063731921013736,405.6339793044886,405.5483476455688
PART-SUPPORTBEAM-2,171,SupportBeam/B31,11.53846,10.0,-30.0,0.0019314553,0.0027400749,-0.29640955,-0.00951492,-0.0432034,-1.50169,1.2062100917939618,406.91433604749534,406.81410324067605
PART-SUPPORTBEAM-2,161,SupportBeam/B31,23.33333,10.0,-14.0,-0.007748899,0.0014612238,-0.29385847,0.00253335,-0.0353733,-1.49914,1.205888084918004,410.21589525621846,410.1162488145317
PART-SUPPORTBEAM-2,175,SupportBeam/B31,26.92308,10.0,-30.0,0.004506729,0.0027248147,-0.28644243,0.0131653,-0.0348489,-1.49118,1.2053544571857788,420.73054087764643,420.6607157850076
PART-SUPPORTBEAM-2,157,SupportBeam/B31,10.0,10.0,-6.0,-0.0047985916,0.0008512983,-0.29668006,0.00148762,-0.042164,-1.50065,1.204754518052421,406.023918354672,405.94585179649795
PART-SUPPORTBEAM-2,162,SupportBeam/B31,26.66667,10.0,-16.0,-0.0068312627,0.0016130084,-0.29037976,0.00567926,-0.033788,-1.49395,1.204155748725065,414.56199014728617,414.4664526119082
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.015185,-0.0454168,-1.49862,1.2034725549427479,406.2495453156002,406.1390427073497
PART-SUPPORTBEAM-2,176,SupportBeam/B31,30.76923,10.0,-30.0,0.0051505473,0.00271936,-0.28093305,0.0188354,-0.0328949,-1.48284,1.2025123563469402,427.9503625861666,427.885819016422
PART-SUPPORTBEAM-2,156,SupportBeam/B31,6.66667,10.0,-4.0,-0.003023396,0.0006974005,-0.29564145,0.00368802,-0.0439703,-1.4969,1.202107462135056,406.5875279737808,406.5148105647503
PART-SUPPORTBEAM-2,163,SupportBeam/B31,30.0,10.0,-18.0,-0.0052313777,0.0017648021,-0.2857581,0.0099337,-0.032249,-1.48689,1.2017090993716222,420.4552278075106,420.36857160449597
PART-FLOOR-1,97,Floor/S4R,5.0,10.0,0.0,-0.0004046246,0.00014975635,-0.3296361,0.00739637,-0.0445019,-1.52998,1.2011994439720481,364.4013550309881,364.34344623293924
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.020855,-0.047676,-1.49374,1.19939594013024,405.7351322116516,405.6132289506012
PART-SUPPORTBEAM-2,177,SupportBeam/B31,34.61538,10.0,-30.0,0.005794366,0.0027133122,-0.2745732,0.0245055,-0.0309986,-1.47267,1.1987170398930624,436.4561883093512,436.3962079760892
PART-SUPPORTBEAM-2,164,SupportBeam/B31,33.33333,10.0,-20.0,-0.0030526014,0.0019167488,-0.2801658,0.0151669,-0.0307572,-1.4782,1.1986181550148027,427.7891764318495,427.7144412712338
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.00648976,-0.0458186,-1.49215,1.1983773602637953,406.64516610388716,406.57441744312104
PART-SUPPORTBEAM-2,165,SupportBeam/B31,36.66667,10.0,-22.0,-0.00046311063,0.0020689925,-0.2738831,0.0211879,-0.0293132,-1.46819,1.1949153022934378,436.2735416589478,436.2110479795556
PART-SUPPORTBEAM-2,178,SupportBeam/B31,38.46154,10.0,-30.0,0.0064381845,0.0027067023,-0.26778767,0.0301755,-0.029162,-1.46113,1.1940037650289306,445.72548781888736,445.6694897968518
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,-0.0212785,-0.0497461,-1.48747,1.1937761359176204,404.621348245062,404.5000727049837
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,-0.0165,-0.0494972,-1.48741,1.19368623230778,404.6892426235773,404.57902804812875
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,-0.0120601,-0.049233,-1.48734,1.1936138976315298,404.7701977939487,404.6694075753894
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,-0.00367796,-0.0486619,-1.48717,1.193505578354759,404.96575478964553,404.87998970155763
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,0.000523334,-0.0483563,-1.48708,1.1934762977737272,405.0827069429753,405.0027625591589
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,0.00490415,-0.0480382,-1.48699,1.1934677602099686,405.2138421492948,405.1385310888572
PART-FLOOR-1,110,Floor/S4R,-5.0,10.0,0.0,0.0004046246,0.00014975635,-0.3296361,0.0102412,-0.050991,-1.52068,1.1921819101558537,361.6657547456657,361.59016859368063
PART-FLOOR-1,89,Floor/S4R,45.0,10.0,0.0,-0.0029188916,-3.163458e-05,-0.2860643,-0.0053066,-0.022662,-1.47729,1.1914430338589153,416.47315255427173,416.4560639738037
PART-SUPPORTBEAM-2,166,SupportBeam/B31,40.0,10.0,-24.0,0.0023040902,0.002221677,-0.2672984,0.0277443,-0.0279178,-1.45729,1.1906450354404798,445.4047176907972,445.35190495809945
PART-SUPPORTBEAM-2,179,SupportBeam/B31,42.30769,10.0,-30.0,0.007082003,0.0026995619,-0.2611419,0.0358456,-0.0273872,-1.44881,1.1883972709122215,454.8856689707014,454.8332244383933
PART-FLOOR-1,95,Floor/S4R,15.0,10.0,0.0,-0.0011827515,0.000103795464,-0.45507059,0.0040738,-0.0381351,-1.64281,1.188366420986022,261.1380305524712,261.0982679946926
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,0.00877794,-0.0500034,-1.48194,1.1883438368328199,403.24049246978404,403.161418678662
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,-0.0321886,-0.0523226,-1.48165,1.1877494335201344,401.79531822600325,401.64747106932487
PART-CABLE50-4,1,Cable/T3D2,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.00688556,-0.0205264,-1.4317400000000002,1.1876545498125102,486.051126242387,486.01080618960265
PART-SUPPORTBEAM-2,16,SupportBeam/B31,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.00688556,-0.0205264,-1.4317400000000002,1.1876545498125102,486.051126242387,486.01080618960265
PART-FLOOR-1,7,Floor/S4R,50.0,10.0,0.0,-0.006274036,0.00022947267,-0.24426699,-0.00688556,-0.0205264,-1.4317400000000002,1.1876545498125102,486.051126242387,486.01080618960265
PART-FLOOR-1,76,Floor/S4R,55.0,10.0,0.0,-0.0036443365,0.00044902856,-0.27593714,-0.00846183,-0.0185116,-1.46295,1.1871740577878174,430.19542841993024,430.17946850198206
PART-SUPPORTBEAM-2,263,SupportBeam/B31,50.0,10.0,-3.75,-0.0048006284,0.000537188,-0.24515715,-0.00127905,-0.0210143,-1.43091,1.1859539153915568,483.658648824913,483.62040285267875
PART-SUPPORTBEAM-2,167,SupportBeam/B31,43.33333,10.0,-26.0,0.0049511814,0.0023749461,-0.260908,0.0345228,-0.0265718,-1.446,1.1858142532455924,454.3945367695817,454.3470476976224
PART-SUPPORTBEAM-2,262,SupportBeam/B31,50.0,10.0,-7.5,-0.003293216,0.0008448155,-0.24604188,0.0044372,-0.0214974,-1.43007,1.1842641271590202,481.2802927807577,481.24329321559276
PART-SUPPORTBEAM-2,261,SupportBeam/B31,50.0,10.0,-11.25,-0.0017177936,0.0011522672,-0.24692115,0.010373,-0.021971,-1.42922,1.1825867593911252,478.9161511438917,478.8796758824459
PART-SUPPORTBEAM-2,180,SupportBeam/B31,46.15385,10.0,-30.0,0.0077258213,0.0026919222,-0.25534227,0.0415157,-0.025676,-1.43645,1.1819314551945297,462.64381901784446,462.5946592169358
PART-FLOOR-1,93,Floor/S4R,25.0,10.0,0.0,-0.001870357,3.2440857e-05,-0.505564,0.000968541,-0.0324414,-1.6868,1.1816857016050675,233.73452472959949,233.7066454817006
PART-SUPPORTBEAM-2,142,SupportBeam/B31,-6.66667,10.0,-4.0,0.003023396,0.0006974005,-0.29564145,0.00743849,-0.0523329,-1.47612,1.1816773302540131,399.6774662036473,399.58650172932965
PART-FLOOR-1,91,Floor/S4R,35.0,10.0,0.0,-0.0024125548,-2.1208252e-05,-0.43105483,-0.0021607,-0.0273007,-1.61207,1.1813302103438301,274.05137922670775,274.0306885009365
PART-SUPPORTBEAM-2,260,SupportBeam/B31,50.0,10.0,-15.0,-4.0356335e-05,0.0014594554,-0.247795,0.016638,-0.0224304,-1.42837,1.1809344704030236,476.5689268673788,476.53229314390376
PART-SUPPORTBEAM-2,168,SupportBeam/B31,46.66667,10.0,-28.0,0.007115521,0.002528944,-0.25531635,0.0411486,-0.0252758,-1.43496,1.1804619838183898,462.15057449954145,462.10452429510013
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,-0.0378521,-0.0546999,-1.47389,1.1796326482936024,398.20204045410173,398.03931439055464
