node,U1,U2,U3,R1,R2,R3
1,-0.0118934,0.000199793,-0.125775,-0.0161772,0.00684512,0
2,-0.0118934,-0.000199793,-0.125775,0.0161772,0.00684512,0
3,-0.00821641,0.000162683,-0.174565,0.0130354,-0.00251692,0
4,-0.00821641,-0.000162683,-0.174565,-0.0130354,-0.00251692,0
5,-0.00425097,0.000164306,-0.166862,0.0138195,0.00102975,0
6,-0.00425097,-0.000164306,-0.166862,-0.0138195,0.00102975,0
7,-0.00256689,0.000137778,-0.110934,0.0133902,0.00206608,0
8,-0.00256689,-0.000137778,-0.110934,-0.0133902,0.00206608,0
9,-6.94517e-016,-0.000715877,-0.011004,0.0142011,1.36002e-014,0
10,2.41899e-015,0.000715877,-0.011004,-0.0142011,9.45326e-015,0
11,0.00256689,0.000137778,-0.110934,0.0133902,-0.00206608,0
12,0.00256689,-0.000137778,-0.110934,-0.0133902,-0.00206608,0
13,0.00425097,0.000164306,-0.166862,0.0138195,-0.00102975,0
14,0.00425097,-0.000164306,-0.166862,-0.0138195,-0.00102975,0
15,0.00821641,0.000162683,-0.174565,0.0130354,0.00251692,0
16,0.00821641,-0.000162683,-0.174565,-0.0130354,0.00251692,0
17,0.0118934,-0.000199793,-0.125775,0.0161772,-0.00684512,0
18,0.0118934,0.000199793,-0.125775,-0.0161772,-0.00684512,0
19,0.00122983,-0.000762015,-0.000417929,0.00434358,0.0385711,0
20,0.00122983,0.000762015,-0.000417929,-0.00434358,0.0385711,0
21,-0.00122983,0.000762015,-0.000417929,-0.00434358,-0.0385711,0
22,-0.00122983,-0.000762015,-0.000417929,0.00434358,-0.0385711,0
23,-0.00915009,9.9898e-005,-0.194152,-0.00744734,0.00677566,0
24,-0.00892774,7.80766e-014,-0.203248,1.62086e-014,0.00653793,0
25,-0.00915009,-9.9898e-005,-0.194152,0.00744734,0.00677566,0
26,-0.0101617,-0.000393424,-0.143955,0.0100796,-0.00760559,0
27,-0.00954513,-0.00014365,-0.189219,0.00445013,-0.011362,0
28,-0.00928818,3.56912e-005,-0.259186,0.00131625,-0.0109703,0
29,-0.00910948,0.000105147,-0.298705,-0.000859306,-0.00756792,0
30,-0.00892901,0.000121868,-0.334596,-0.00132812,-0.00242019,0
31,-0.00873625,0.000124565,-0.32236,-0.00135214,0.00306254,0
32,-0.00853728,0.000132151,-0.304575,0.000408448,0.00751075,0
33,-0.00834696,0.000155519,-0.246568,0.00283919,0.00961079,0
34,-0.00820543,0.000189258,-0.207773,0.00791059,0.00821905,0
35,-0.00784122,8.13248e-005,-0.23591,0.00607615,-0.00249726,0
36,-0.00781077,2.03152e-013,-0.237782,2.16983e-014,-0.00244246,0
37,-0.00784122,-8.13248e-005,-0.23591,-0.00607615,-0.00249726,0
38,-0.00820543,-0.000189258,-0.207773,-0.00791059,0.00821905,0
39,-0.00834696,-0.000155519,-0.246568,-0.00283919,0.00961079,0
40,-0.00853728,-0.000132151,-0.304575,-0.000408448,0.00751075,0
41,-0.00873625,-0.000124565,-0.32236,0.00135214,0.00306254,0
42,-0.00892901,-0.000121868,-0.334596,0.00132812,-0.00242019,0
43,-0.00910948,-0.000105147,-0.298705,0.000859306,-0.00756792,0
44,-0.00928818,-3.56912e-005,-0.259186,-0.00131625,-0.0109703,0
45,-0.00954513,0.00014365,-0.189219,-0.00445013,-0.011362,0
46,-0.0101617,0.000393424,-0.143955,-0.0100796,-0.00760559,0
47,-0.00766277,0.000136243,-0.233074,0.00777331,-0.0131236,0
48,-0.00726166,0.000170478,-0.294952,0.00250671,-0.0141426,0
49,-0.00690979,0.000195188,-0.375468,-4.85281e-006,-0.0114108,0
50,-0.00656893,0.000204981,-0.409077,-0.00202481,-0.00608866,0
51,-0.00622875,0.000207205,-0.436067,-0.00202778,0.000528036,0
52,-0.00588852,0.000205066,-0.403691,-0.00190377,0.00704825,0
53,-0.00554758,0.000195611,-0.3663,0.000276694,0.0120837,0
54,-0.005196,0.000171792,-0.282563,0.00290475,0.0143377,0
55,-0.00479696,0.000138808,-0.222244,0.0084329,0.0126659,0
56,-0.0046125,8.21522e-005,-0.232903,0.00644385,0.00102688,0
57,-0.0046418,2.87017e-013,-0.234005,1.87987e-014,0.00101562,0
58,-0.0046125,-8.21522e-005,-0.232903,-0.00644385,0.00102688,0
59,-0.00479696,-0.000138808,-0.222244,-0.0084329,0.0126659,0
60,-0.005196,-0.000171792,-0.282563,-0.00290475,0.0143377,0
61,-0.00554758,-0.000195611,-0.3663,-0.000276694,0.0120837,0
62,-0.00588852,-0.000205066,-0.403691,0.00190377,0.00704825,0
63,-0.00622875,-0.000207205,-0.436067,0.00202778,0.000528036,0
64,-0.00656893,-0.000204981,-0.409077,0.00202481,-0.00608866,0
65,-0.00690979,-0.000195188,-0.375468,4.85281e-006,-0.0114108,0
66,-0.00726166,-0.000170478,-0.294952,-0.00250671,-0.0141426,0
67,-0.00766277,-0.000136243,-0.233074,-0.00777331,-0.0131236,0
68,-0.00424924,0.000189819,-0.212059,0.00846763,-0.0106299,0
