instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,1.83499e-14,-0.000110841,-0.0121209,0.2829826983036224,95.89319656857005,95.89246815849563
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,8.59038e-15,0.000110841,-0.0121209,0.2829826983036224,95.89319656857005,95.89246815849563
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,1.51043e-14,-0.00035235,-0.0131883,0.2818508356572704,95.5311986028107,95.52833088550464
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,6.70789e-15,0.00035235,-0.0131883,0.2818508356572704,95.5311986028107,95.52833088550464
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00199776,-0.000118921,-0.0146958,0.2809283418284367,95.0332530735294,94.98277624159239
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00199776,-0.000118921,-0.0146958,0.2809283418284367,95.0332530735294,94.98277624159239
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00199776,0.000118921,-0.0146958,0.2809283418284367,95.0332530735294,94.98277624159239
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00199776,0.000118921,-0.0146958,0.2809283418284367,95.0332530735294,94.98277624159239
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,8.51181e-15,-0.000842345,-0.0142504,0.28072138607005315,95.17151328561087,95.16032803991428
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,2.89503e-15,0.000842345,-0.0142504,0.28072138607005315,95.17151328561087,95.16032803991428
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,1.91602e-15,-0.00133234,-0.0153073,0.2795918445466546,94.81327793123619,94.78946716820793
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,-9.1552e-16,0.00133234,-0.0153073,0.2795918445466546,94.81327793123619,94.78946716820793
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,-1.33742e-15,-0.00157385,-0.016359,0.2784593245923791,94.45548997099615,94.42528312648413
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,-2.79293e-15,0.00157385,-0.016359,0.2784593245923791,94.45548997099615,94.42528312648413
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,-2.03687e-15,-0.00147697,-0.0184706,0.27625796265432084,93.73648216808157,93.71277653470608
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,-2.09769e-15,0.00147697,-0.0184706,0.27625796265432084,93.73648216808157,93.71277653470608
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00399552,-0.000140412,-0.0212831,0.27500700182197735,92.83258599453445,92.68992334292628
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00399552,-0.000140412,-0.0212831,0.27500700182197735,92.83258599453445,92.68992334292628
PART-SUPPORTBEAM-1,170,SupportBeam/B31,7.69231,-10.0,-30.0,0.0012876368,-0.002742094,-0.29622424,-0.00399552,0.000140412,-0.0212831,0.27500700182197735,92.83258599453445,92.68992334292628
PART-SUPPORTBEAM-1,201,SupportBeam/B31,-7.69231,-10.0,-30.0,-0.0012876368,-0.002742094,-0.29622424,0.00399552,0.000140412,-0.0212831,0.27500700182197735,92.83258599453445,92.68992334292628
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,-3.61395e-15,-0.00124575,-0.020577,0.27405571686037,93.01837987572988,93.00308825992488
PART-SUPPORTBEAM-1,186,SupportBeam/B31,0.0,-10.0,-7.5,-9.525197e-16,-0.00097364635,-0.29462373,-1.1524e-15,0.00124575,-0.020577,0.27405571686037,93.01837987572988,93.00308825992488
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,-5.50703e-15,-0.000943183,-0.0226781,0.271853846689828,92.30156472837618,92.29352935103859
PART-SUPPORTBEAM-1,187,SupportBeam/B31,0.0,-10.0,-3.75,-6.581144e-16,-0.0006801343,-0.2945271,-1.16362e-15,0.000943183,-0.0226781,0.271853846689828,92.30156472837618,92.29352935103859
PART-SUPPORTBEAM-2,10,SupportBeam/B31,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-7.17242e-15,-0.000632224,-0.0247741,0.26965286583363046,91.58617521628526,91.58286797633116
PART-FLOOR-1,9,Floor/S4R,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-7.17242e-15,-0.000632224,-0.0247741,0.26965286583363046,91.58617521628526,91.58286797633116
PART-FLOOR-1,10,Floor/S4R,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-3.32031e-15,0.000632224,-0.0247741,0.26965286583363046,91.58617521628526,91.58286797633116
PART-SUPPORTBEAM-1,10,SupportBeam/B31,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-3.32031e-15,0.000632224,-0.0247741,0.26965286583363046,91.58617521628526,91.58286797633116
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,-0.00115174,-0.000762195,-0.0278636,0.26684605878047446,90.54882334648522,90.53344225889094
