node,U1,U2,U3,R1,R2,R3
1,-0.0132369,0.000221088,-0.134368,-0.0162025,0.00654817,0
2,-0.0132369,-0.000221088,-0.134368,0.0162025,0.00654817,0
3,-0.00829998,0.000196538,-0.20043,0.0130208,-0.00282396,0
4,-0.00829998,-0.000196538,-0.20043,-0.0130208,-0.00282396,0
5,-0.00399084,0.000176063,-0.202369,0.0138129,0.00093403,0
6,-0.00399084,-0.000176063,-0.202369,-0.0138129,0.00093403,0
7,-0.00228333,0.000131469,-0.142551,0.0133371,0.00241425,0
8,-0.00228333,-0.000131469,-0.142551,-0.0133371,0.00241425,0
9,-3.18508e-016,-0.000628666,-0.024664,0.0143031,2.44128e-014,0
10,-1.2633e-014,0.000628666,-0.024664,-0.0143031,2.61906e-014,0
11,0.00228333,0.000131469,-0.142551,0.0133371,-0.00241425,0
12,0.00228333,-0.000131469,-0.142551,-0.0133371,-0.00241425,0
13,0.00399084,0.000176063,-0.202369,0.0138129,-0.00093403,0
14,0.00399084,-0.000176063,-0.202369,-0.0138129,-0.00093403,0
15,0.00829998,0.000196538,-0.20043,0.0130208,0.00282396,0
16,0.00829998,-0.000196538,-0.20043,-0.0130208,0.00282396,0
17,0.0132369,-0.000221088,-0.134368,0.0162025,-0.00654817,0
18,0.0132369,0.000221088,-0.134368,-0.0162025,-0.00654817,0
19,0.000634994,-0.00050216,-0.000334484,0.00417213,0.0386844,0
20,0.000634994,0.00050216,-0.000334484,-0.00417213,0.0386844,0
21,-0.000634994,0.00050216,-0.000334484,-0.00417213,-0.0386844,0
22,-0.000634994,-0.00050216,-0.000334484,0.00417213,-0.0386844,0
23,-0.0099132,0.000110544,-0.202534,-0.00745588,0.00647891,0
24,-0.0096438,5.28708e-014,-0.211932,7.57057e-015,0.00624185,0
25,-0.0099132,-0.000110544,-0.202534,0.00745588,0.00647891,0
26,-0.0111039,-0.000455692,-0.153836,0.0100883,-0.00792881,0
27,-0.0103219,-0.000153038,-0.201011,0.0044666,-0.011704,0
28,-0.00997562,6.43311e-005,-0.272507,0.00131812,-0.0113262,0
29,-0.0097243,0.000148615,-0.314033,-0.000850545,-0.00793261,0
30,-0.00947125,0.000168847,-0.351579,-0.00133204,-0.00278846,0
31,-0.00920405,0.000170989,-0.34135,-0.00135065,0.00269586,0
32,-0.00892937,0.000175471,-0.325236,0.00039867,0.00715088,0
33,-0.00865988,0.000191659,-0.269141,0.00283315,0.00926282,0
34,-0.0084252,0.000215661,-0.231923,0.0078939,0.00788808,0
35,-0.0080307,9.82487e-005,-0.261601,0.00606805,-0.00280392,0
36,-0.00800882,1.55185e-013,-0.263561,7.98817e-015,-0.0027482,0
37,-0.0080307,-9.82487e-005,-0.261601,-0.00606805,-0.00280392,0
38,-0.0084252,-0.000215661,-0.231923,-0.0078939,0.00788808,0
39,-0.00865988,-0.000191659,-0.269141,-0.00283315,0.00926282,0
40,-0.00892937,-0.000175471,-0.325236,-0.00039867,0.00715088,0
41,-0.00920405,-0.000170989,-0.34135,0.00135065,0.00269586,0
42,-0.00947125,-0.000168847,-0.351579,0.00133204,-0.00278846,0
43,-0.0097243,-0.000148615,-0.314033,0.000850545,-0.00793261,0
44,-0.00997562,-6.43311e-005,-0.272507,-0.00131812,-0.0113262,0
45,-0.0103219,0.000153038,-0.201011,-0.0044666,-0.011704,0
46,-0.0111039,0.000455692,-0.153836,-0.0100883,-0.00792881,0
47,-0.00776961,0.00017758,-0.260303,0.00775449,-0.0134044,0
48,-0.00734871,0.000202186,-0.323619,0.00249431,-0.0143998,0
49,-0.00696318,0.000220002,-0.405277,-2.10039e-005,-0.011645,0
